Contour,Path Length,
UID_1_1_1_all-18,751.881,
UID_1_10_1_all-12,766.719,
UID_1_10_2_all-19,682.486,
UID_1_10_3_all-2,618.576,
UID_1_10_4_all-2,587.432,
UID_1_11_1_all-8,738.954,
UID_1_2_1_all-20,1949.33,
UID_1_2_2_all-14,693.721,
UID_1_3_1_all-3,803.366,
UID_1_4_1_all-7,668.631,
UID_1_4_2_all-12,714.926,
UID_1_5_1_all-2,750.408,
UID_1_6_1_all-6,746.384,
UID_1_7_1_all-2,736.439,
UID_1_7_2_all-6,678.577,
UID_1_8_1_all-10,729.246,
UID_1_8_2_all-3,686.032,
UID_1_9_1_all-3,593.268,
UID_1_9_2_all-19,1414,
UID_11_1_1_all-15,623.901,
UID_11_1_2_all-3,1543.35,
UID_11_10_1_all-10,802.914,
UID_11_11_1_all-10,1318.95,
UID_11_11_2_all-14,998.569,
UID_11_11_3_all-11,1186.18,
UID_11_12_1_all-7,658.643,
UID_11_12_2_all-8,1216.18,
UID_11_12_3_all-11,917.968,
UID_11_14_1_all-7,641.442,
UID_11_15_1_all-15,1520.61,
UID_11_15_2_all-12,702.593,
UID_11_15_3_all-13,959.98,
UID_11_15_4_all-8,635.555,
UID_11_15_5_all-9,1018.72,
UID_11_16_1_all-12,755.264,
UID_11_16_2_all-22,707.654,
UID_11_16_3_all,209.757,
UID_11_17_1_all-7,1115.62,
UID_11_17_2_all-14,760.431,
UID_11_18_1_all-6,76.348,
UID_11_19_1_all-11,811.514,
UID_11_2_1_all-17,589.227,
UID_11_2_2_all-9,1039.61,
UID_11_2_3_all-17,709.129,
UID_11_2_4_all-5,663.606,
UID_11_21_1_all-11,963.331,
UID_11_21_2_all-15,94.098,
UID_11_21_3_all-18,730.06,
UID_11_22_1_all-15,734.831,
UID_11_22_2_all-22,642.958,
UID_11_23_1_all-15,662.861,
UID_11_23_2_all-10,842.18,
UID_11_24_1_all-13,843.694,
UID_11_24_2_all-5,607.111,
UID_11_25_1_all-13,166.025,
UID_11_25_2_all-9,858.821,
UID_11_27_1_all-14,1126.03,
UID_11_27_2_all-9,962.595,
UID_11_28_1_all-6,672.278,
UID_11_28_2_all-4,937.118,
UID_11_28_3_all,764.592,
UID_11_28_4_all-2,919.56,
UID_11_29_1_all-10,765.434,
UID_11_29_2_all-2,775.155,
UID_11_29_3_all-3,582.708,
UID_11_29_4_all-5,1191.17,
UID_11_29_5_all-4,792.163,
UID_11_3_1_all-19,706.241,
UID_11_30_1_all-6,1329.9,
UID_11_30_2_all-8,934.571,
UID_11_31_1_all-7,976.031,
UID_11_31_2_all-14,729.158,
UID_11_31_3_all-11,702.785,
UID_11_31_4_all-7,1170.74,
UID_11_32_1_all-6,1264.69,
UID_11_32_2_all-2,798.644,
UID_11_32_3_all-18,1504.48,
UID_11_32_4_all-5,595.224,
UID_11_32_5_all-4,718.205,
UID_11_32_6_all-12,173.18,
UID_11_32_7_all-10,797.301,
UID_11_33_1_all-11,794.874,
UID_11_33_2_all-4,1154.2,
UID_11_33_3_all-3,957.146,
UID_11_33_4_all-4,850.538,
UID_11_33_5_all-6,1275.6,
UID_11_33_6_all-7,825.961,
UID_11_36_1_all-16,759.123,
UID_11_36_2_all-5,870.544,
UID_11_36_3_all-9,879.124,
UID_11_36_4_all-6,741.71,
UID_11_37_1_all-7,1160.94,
UID_11_37_2_all-5,1094.36,
UID_11_37_3_all-14,765.638,
UID_11_37_4_all-3,776.294,
UID_11_37_5_all-9,1202.53,
UID_11_4_1_all-12,603.793,
UID_11_5_1_all-11,759.745,
UID_11_5_2_all-11,692.399,
UID_11_5_3_all-8,663.422,
UID_11_5_4_all-12,595.2,
UID_11_6_1_all-14,656.677,
UID_11_6_2_all-8,730.973,
UID_11_6_3_all-2,892.64,
UID_11_6_4_all-7,783.105,
UID_11_6_5_all-9,752.622,
UID_11_6_6_all-12,687.774,
UID_11_7_1_all-11,754.458,
UID_11_7_2_all-9,663.659,
UID_11_7_3_all-10,1077.92,
UID_14_1_1_all-2,583.233,
UID_14_1_2_all-10,669.934,
UID_14_1_3_all-7,730.741,
UID_14_1_4_all-17,737.49,
UID_14_1_5_all-31,644.131,
UID_14_11_1_all-27,1171.14,
UID_14_11_2_all-18,1029.86,
UID_14_12_1_all-28,770.068,
UID_14_12_2_all-7,628.371,
UID_14_12_3_all-10,1677.77,
UID_14_12_4_all-14,729.342,
UID_14_13_1_all-13,699.201,
UID_14_13_2_all-26,810.016,
UID_14_13_3_all-16,744.267,
UID_14_14_1_all-20,714.255,
UID_14_14_2_all-25,642.089,
UID_14_14_3_all-22,1606.93,
UID_14_14_4_all-18,1327.06,
UID_14_15_1_all-22,684.962,
UID_14_15_2_all-19,760.485,
UID_14_15_3_all-26,709.506,
UID_14_16_1_all-32,787.329,
UID_14_16_2_all-37,822.068,
UID_14_16_3_all-18,765.702,
UID_14_16_4_all-18,688.93,
UID_14_16_5_all-15,684.599,
UID_14_16_6_all-4,814.035,
UID_14_17_1_all-2,704.06,
UID_14_17_2_all-3,750.336,
UID_14_17_3_all-2,657.831,
UID_14_17_4_all-4,729.891,
UID_14_17_5_all,1129.32,
UID_14_18_1_all-2,1208.38,
UID_14_18_2_all-17,715.088,
UID_14_18_3_all-14,645.951,
UID_14_18_4_all-14,662.961,
UID_14_18_5_all-13,670.296,
UID_14_19_1_all-17,704.877,
UID_14_19_2_all-6,693.24,
UID_14_19_3_all-27,756.1,
UID_14_19_4_all-20,704.668,
UID_14_2_1_all-21,747.432,
UID_14_2_2_all-16,731.917,
UID_14_2_3_all-10,672.273,
UID_14_2_4_all-13,669.371,
UID_14_2_5_all-8,663.12,
UID_14_20_1_all-3,623.971,
UID_14_20_2_all-4,713.143,
UID_14_21_1_all-12,741.089,
UID_14_21_2_all-19,729.656,
UID_14_22_1_all-9,653.433,
UID_14_22_2_all-25,759.131,
UID_14_23_1_all-3,679.224,
UID_14_23_2_all-10,728.944,
UID_14_24_1_all-9,706.153,
UID_14_24_2_all-2,659.93,
UID_14_25_1_all-19,672.11,
UID_14_26_1_all-2,763.41,
UID_14_26_2_all-2,705.034,
UID_14_28_1_all-11,670.157,
UID_14_28_2_all-17,737.536,
UID_14_28_3_all-24,653.504,
UID_14_28_4_all-19,679.456,
UID_14_29_1_all-19,697.784,
UID_14_29_2_all-27,688.084,
UID_14_3_1_all-4,705.22,
UID_14_30_1_all-21,689.907,
UID_14_30_2_all-19,712.523,
UID_14_30_3_all-15,731.124,
UID_14_31_1_all-12,682.838,
UID_14_31_2_all-15,741.076,
UID_14_31_3_all-2,774.928,
UID_14_32_1_all-20,707.571,
UID_14_32_2_all-14,769.095,
UID_14_33_1_all-22,850.028,
UID_14_34_1_all-9,701.123,
UID_14_34_2_all-16,715.757,
UID_14_37_1_all-14,760.19,
UID_14_37_2_all-15,717.666,
UID_14_37_3_all-31,756.917,
UID_14_37_4_all-16,653.039,
UID_14_38_1_all-15,643.954,
UID_14_4_1_all-2,603.747,
UID_14_5_1_all-3,672.745,
UID_14_5_2_all-7,675.357,
UID_14_5_3_all-3,671.596,
UID_14_6_1_all-32,706.852,
UID_14_6_2_all-16,665.752,
UID_14_6_3_all-19,689.156,
UID_14_6_4_all-5,634.17,
UID_14_6_5_all-17,730.283,
UID_14_7_1_all-19,744.935,
UID_14_7_2_all-17,716.487,
UID_14_7_3_all-21,1015.06,
UID_14_8_1_all-19,740.294,
UID_14_8_2_all-30,742.625,
UID_14_9_1_all-8,671.876,
UID_14_9_2_all-20,697.899,
UID_14_9_3_all-16,692.848,
UID_15_1_1_all-12,858.084,
UID_15_1_2_all-15,1177.93,
UID_15_11_1_all-16,735.973,
UID_15_12_1_all-2,724.417,
UID_15_13_1_all-11,700.298,
UID_15_14_1_all-25,683.054,
UID_15_15_1_all-4,747.641,
UID_15_15_2_all-9,686.185,
UID_15_16_1_all-11,668.042,
UID_15_16_2_all-16,726.149,
UID_15_16_3_all-10,635.252,
UID_15_16_4_all-7,693.932,
UID_15_17_1_all-2,752.596,
UID_15_17_2_all-2,705.107,
UID_15_18_1_all-21,867.885,
UID_15_18_2_all-10,1378.48,
UID_15_18_3_all-6,714.683,
UID_15_19_1_all-22,757.679,
UID_15_19_2_all-3,778.896,
UID_15_19_3_all-13,1293.29,
UID_15_20_1_all-8,711.544,
UID_15_20_2_all-13,722.468,
UID_15_21_1_all-17,739.295,
UID_15_21_2_all-29,956.13,
UID_15_21_3_all-10,618.067,
UID_15_22_1_all-3,620.121,
UID_15_22_2_all-14,697.308,
UID_15_22_3_all-4,639.893,
UID_15_23_1_all-3,722.703,
UID_15_24_1_all-2,661.546,
UID_15_24_2_all-4,630.752,
UID_15_25_1_all-3,640.156,
UID_15_25_2_all-8,729.757,
UID_15_25_3_all-7,669.972,
UID_15_26_1_all-2,643.106,
UID_15_26_2_all-8,684.805,
UID_15_26_3_all-14,748.991,
UID_15_27_1_all-11,714.746,
UID_15_27_2_all-25,654.756,
UID_15_27_3_all-17,698.458,
UID_15_28_1_all-10,674.281,
UID_15_28_2_all-7,750.764,
UID_15_28_3_all-6,747.075,
UID_15_29_1_all-3,654.904,
UID_15_29_2_all-9,715.061,
UID_15_3_1_all-3,937.82,
UID_15_3_2_all-3,1160.76,
UID_15_30_1_all-5,734.471,
UID_15_30_2_all-12,759.321,
UID_15_30_3_all-12,755.096,
UID_15_4_1_all,1127.46,
UID_15_6_1_all-4,688.903,
UID_15_6_2_all-5,821.549,
UID_15_7_1_all-12,693.241,
UID_15_7_2_all-2,674.974,
UID_15_8_1_all-10,717.639,
UID_15_8_2_all-16,1321.14,
UID_15_8_3_all-14,748.277,
UID_17_1_1_all-16,697.875,
UID_17_1_2_all-11,627.597,
UID_17_10_1_all-10,690.805,
UID_17_10_2_all-7,637.146,
UID_17_11_1_all-10,666.799,
UID_17_11_2_all-13,708.727,
UID_17_11_3_all-15,775.042,
UID_17_12_1_all-17,778.809,
UID_17_12_2_all-6,658.773,
UID_17_12_3_all-24,736.69,
UID_17_13_1_all-9,1593.47,
UID_17_13_2_all-14,676.665,
UID_17_13_3_all-17,691.833,
UID_17_14_1_all-27,776.658,
UID_17_14_2_all-26,776.489,
UID_17_14_3_all-18,684.31,
UID_17_14_4_all-15,667.421,
UID_17_14_5_all-11,1045.61,
UID_17_15_1_all-3,1131.95,
UID_17_16_1_all-15,662.6,
UID_17_16_2_all-7,721.393,
UID_17_17_1_all-2,707.705,
UID_17_18_1_all-2,1140.16,
UID_17_18_2_all-3,1137.1,
UID_17_19_1_all-26,819.262,
UID_17_20_1_all-2,643.204,
UID_17_20_2_all-10,740.699,
UID_17_21_1_all-5,726.19,
UID_17_22_1_all-6,1199.91,
UID_17_22_2_all-13,768.961,
UID_17_22_3_all-8,739.798,
UID_17_23_1_all-4,729.332,
UID_17_24_1_all-5,1305.79,
UID_17_24_2_all-13,717.372,
UID_17_24_3_all-11,1245.83,
UID_17_25_1_all-11,805.613,
UID_17_25_2_all-13,1513.69,
UID_17_26_1_all-8,1409.35,
UID_17_26_2_all-12,1207.86,
UID_17_27_1_all-11,1219.61,
UID_17_28_1_all-19,808.287,
UID_17_28_2_all,116.302,
UID_17_28_3_all-4,619.052,
UID_17_28_4_all-13,697.049,
UID_17_3_1_all-11,1083.75,
UID_17_3_2_all-26,1169.05,
UID_17_3_3_all-19,746.713,
UID_17_30_1_all-13,746.527,
UID_17_30_2_all-13,652.283,
UID_17_30_3_all-27,710.213,
UID_17_31_1_all-2,1147.05,
UID_17_32_1_all,1223.37,
UID_17_33_1_all-3,639.815,
UID_17_33_2_all-3,754.361,
UID_17_34_1_all-10,704.498,
UID_17_34_2_all-20,676.031,
UID_17_35_1_all-3,703.996,
UID_17_36_1_all-2,718.081,
UID_17_36_2_all-5,1309.58,
UID_17_38_1_all-4,697.131,
UID_17_4_1_all-5,668.779,
UID_17_4_2_all,693.901,
UID_17_4_3_all-7,674.911,
UID_17_5_1_all-2,752.237,
UID_17_5_2_all-2,655.782,
UID_17_6_1_all-18,786,
UID_17_7_1_all-6,666.664,
UID_17_7_2_all-4,646.482,
UID_17_7_3_all-15,684.943,
UID_17_7_4_all-10,664.601,
UID_17_7_5_all-19,695.394,
UID_17_8_1_all-4,1243.13,
UID_17_9_1_all-23,724.656,
UID_19_10_1_all-23,794.185,
UID_19_10_2_all-21,979.658,
UID_19_13_1_all-16,751.926,
UID_19_4_1_all-26,1276.09,
UID_19_5_1_all-6,1614.25,
UID_19_7_1_all-30,1359.42,
UID_19_7_2_all-15,1331.58,
UID_19_7_3_all-7,1042.62,
UID_19_8_1_all-19,993.742,
UID_20_1_1_all-15,1331.98,
UID_20_1_2_all-10,1662.86,
UID_20_1_3_all-8,1110.82,
UID_20_10_1_all-15,791.058,
UID_20_10_2_all-10,739.469,
UID_20_10_3_all-16,760.401,
UID_20_10_4_all-10,645.859,
UID_20_10_5_all-7,1316.12,
UID_20_11_1_all-16,1300.81,
UID_20_11_2_all-13,684.456,
UID_20_12_1_all-12,1200.66,
UID_20_12_2_all-11,1360.52,
UID_20_13_1_all-12,695.674,
UID_20_13_2_all-18,818.327,
UID_20_13_3_all-17,704.442,
UID_20_13_4_all-12,1511.61,
UID_20_13_5_all-26,739.254,
UID_20_13_6_all-15,653.148,
UID_20_14_1_all-15,593.324,
UID_20_14_2_all-14,709.395,
UID_20_14_3_all-16,557.284,
UID_20_14_4_all-13,645.467,
UID_20_14_5_all-12,623.654,
UID_20_14_6_all-18,572.289,
UID_20_15_1_all-14,664.679,
UID_20_15_2_all-11,643.631,
UID_20_16_1_all-20,1454.44,
UID_20_16_2_all-15,1158.04,
UID_20_16_3_all-15,696.774,
UID_20_18_1_all-15,726.821,
UID_20_18_2_all-6,1107.85,
UID_20_19_1_all-13,1036.32,
UID_20_19_2_all-3,958.838,
UID_20_20_1_all-27,693.082,
UID_20_22_1_all-13,803.637,
UID_20_22_2_all-9,645.277,
UID_20_22_3_all-25,730.67,
UID_20_22_4_all-13,700.473,
UID_20_24_1_all-17,937.82,
UID_20_28_1_all-24,1022.65,
UID_20_29_1_all-15,1011.66,
UID_20_3_1_all-2,716.258,
UID_20_30_1_all,1229.33,
UID_20_32_1_all-19,803.604,
UID_20_32_2_all-13,1165.94,
UID_20_32_3_all-10,700.74,
UID_20_33_1_all-17,808.656,
UID_20_34_1_all-5,1188.05,
UID_20_34_2_all-6,1264.7,
UID_20_35_1_all-5,734.61,
UID_20_35_2_all-2,624.975,
UID_20_37_1_all-12,645.653,
UID_20_37_2_all-12,657.535,
UID_20_37_3_all-13,731.077,
UID_20_37_4_all-16,716.781,
UID_20_37_5_all-21,1258.26,
UID_20_37_6_all-8,640.025,
UID_20_38_1_all-13,654.409,
UID_20_38_2_all-19,667.961,
UID_20_38_3_all-12,701.39,
UID_20_4_1_all-5,656.747,
UID_20_4_2_all-2,697.893,
UID_20_4_3_all-6,726.341,
UID_20_5_1_all,1185.97,
UID_20_5_2_all-2,687.477,
UID_20_6_1_all-6,719.843,
UID_20_6_2_all-2,665.424,
UID_20_8_1_all-5,1127.93,
UID_20_8_2_all-4,638.607,
UID_20_8_3_all-12,854.799,
UID_20_9_1_all-28,851.562,
UID_20_9_2_all-13,826.325,
UID_20_9_3_all-20,1302.66,
UID_20_9_4_all-14,667.16,
UID_20_9_5_all-21,652.407,
UID_22_1_1_all-13,696.727,
UID_22_1_2_all-10,743.823,
UID_22_1_3_all-19,696.37,
UID_22_10_1_all-8,683.923,
UID_22_10_2_all-10,641.076,
UID_22_10_3_all-9,661.147,
UID_22_10_4_all-23,691.77,
UID_22_10_5_all-15,623.517,
UID_22_11_1_all-25,622.477,
UID_22_11_2_all-22,634.109,
UID_22_11_3_all-15,589.967,
UID_22_11_4_all-20,646.358,
UID_22_11_5_all-13,608.986,
UID_22_11_6_all-16,623.895,
UID_22_12_1_all-5,704.898,
UID_22_13_1_all-10,692.805,
UID_22_14_1_all-4,568.25,
UID_22_14_2_all-10,862.695,
UID_22_14_3_all-11,612.196,
UID_22_14_4_all-19,624.818,
UID_22_15_1_all-7,630.914,
UID_22_16_1_all-4,622.829,
UID_22_16_2_all-10,650.636,
UID_22_17_1_all,1010.79,
UID_22_17_2_all-2,632.049,
UID_22_18_1_all-8,626.832,
UID_22_18_2_all-16,674.002,
UID_22_18_3_all-5,642.585,
UID_22_18_4_all-4,716.364,
UID_22_19_1_all-5,627.475,
UID_22_19_2_all-3,641.623,
UID_22_19_3_all-6,588.608,
UID_22_19_4_all-3,714.496,
UID_22_2_1_all-3,652.699,
UID_22_2_2_all-9,742.531,
UID_22_20_1_all-13,1080.1,
UID_22_21_1_all-4,631.432,
UID_22_21_2_all-12,615.069,
UID_22_22_1_all-14,672.053,
UID_22_22_2_all-10,727.809,
UID_22_23_1_all-5,1027.08,
UID_22_23_2_all-2,571.715,
UID_22_23_3_all-2,567.992,
UID_22_23_4_all-17,1383.68,
UID_22_24_1_all-9,787.588,
UID_22_24_2_all-11,1114.45,
UID_22_24_3_all-5,663.823,
UID_22_24_4_all-7,647.424,
UID_22_25_1_all-10,730.753,
UID_22_25_2_all-2,625.608,
UID_22_25_3_all-6,631.29,
UID_22_25_4_all-10,1135.67,
UID_22_26_1_all-2,573.935,
UID_22_26_2_all-20,1048.87,
UID_22_26_3_all-3,659.765,
UID_22_26_4_all-18,738.608,
UID_22_27_1_all-12,642.426,
UID_22_27_2_all-16,691.314,
UID_22_27_3_all-20,620.357,
UID_22_27_4_all-20,673.843,
UID_22_28_1_all-10,682.647,
UID_22_28_2_all-14,637.276,
UID_22_29_1_all-2,639.978,
UID_22_29_2_all-7,707.246,
UID_22_3_1_all-4,805.235,
UID_22_30_1_all-8,668.303,
UID_22_30_2_all-9,692.04,
UID_22_31_1_all-2,616.023,
UID_22_31_2_all,1036.18,
UID_22_31_3_all,1157.83,
UID_22_32_1_all-4,697.403,
UID_22_32_2_all-5,682.315,
UID_22_33_1_all-10,696.62,
UID_22_33_2_all-5,1257.29,
UID_22_34_1_all-2,690.452,
UID_22_34_2_all-6,739.778,
UID_22_35_1_all-2,625.782,
UID_22_35_2_all-11,713.826,
UID_22_35_3_all-6,712.753,
UID_22_35_4_all-5,745.551,
UID_22_36_1_all,1173.73,
UID_22_36_2_all-6,752.758,
UID_22_37_1_all-2,741.921,
UID_22_37_2_all-9,1384.73,
UID_22_4_1_all-15,613.583,
UID_22_4_2_all-3,591.494,
UID_22_4_3_all-9,737.062,
UID_22_5_1_all-2,797.122,
UID_22_6_1_all-14,700.584,
UID_22_6_2_all-15,1219.72,
UID_22_6_3_all-10,649.851,
UID_22_7_1_all-3,628.815,
UID_22_7_2_all-7,864.76,
UID_22_7_3_all-9,619.322,
UID_22_7_4_all-10,653.64,
UID_22_8_1_all-14,1275.04,
UID_22_8_2_all-7,652.64,
UID_22_8_3_all-8,668.041,
UID_22_8_4_all-25,631.362,
UID_22_8_5_all-20,747.391,
UID_22_9_1_all-14,758.641,
UID_22_9_2_all-17,1519.07,
UID_22_9_3_all-6,642.842,
UID_26_1_1_all-3,509.884,
UID_26_1_2_all-2,509.37,
UID_26_1_3_all-14,586.933,
UID_26_10_1_all-3,649.048,
UID_26_10_2_all-9,736.316,
UID_26_11_1_all-18,635.297,
UID_26_11_2_all-18,775.804,
UID_26_12_1_all-2,621.024,
UID_26_13_1_all-35,717.817,
UID_26_13_2_all-10,719.286,
UID_26_13_3_all-2,575.691,
UID_26_13_4_all-25,658.699,
UID_26_14_1_all-7,1189.14,
UID_26_14_2_all-2,707.681,
UID_26_14_3_all-4,1181.41,
UID_26_14_4_all-7,908.27,
UID_26_15_1_all-4,718.192,
UID_26_16_1_all-19,651.614,
UID_26_16_2_all-22,669.522,
UID_26_16_3_all-11,1061.05,
UID_26_17_1_all-31,1426.55,
UID_26_17_2_all-12,642.548,
UID_26_17_3_all-22,648.153,
UID_26_18_1_all-13,574.63,
UID_26_18_2_all-20,585.399,
UID_26_18_3_all-39,750.992,
UID_26_18_4_all-16,1118.6,
UID_26_19_1_all-2,504.905,
UID_26_19_10_all-13,595.89,
UID_26_19_2_all-25,635.244,
UID_26_19_3_all-13,618.729,
UID_26_19_4_all-17,592.384,
UID_26_19_5_all-20,637.848,
UID_26_19_6_all-3,544.249,
UID_26_19_7_all-3,1132.13,
UID_26_19_8_all-16,625.889,
UID_26_19_9_all-16,614.58,
UID_26_2_1_all-5,504.735,
UID_26_2_2_all-14,592.425,
UID_26_2_3_all-16,607.318,
UID_26_20_1_all-21,655.305,
UID_26_20_2_all-6,571.96,
UID_26_20_3_all-5,596.085,
UID_26_20_4_all-10,578.974,
UID_26_20_5_all-20,633.523,
UID_26_20_6_all-22,622.592,
UID_26_21_1_all-5,662.123,
UID_26_21_2_all-11,1250.01,
UID_26_21_3_all-8,1056.61,
UID_26_21_4_all-18,658.901,
UID_26_23_1_all-12,1043.1,
UID_26_24_1_all-22,718.174,
UID_26_24_2_all-28,713.299,
UID_26_24_3_all-10,572.167,
UID_26_24_4_all-26,651.161,
UID_26_25_1_all-16,636.182,
UID_26_25_2_all-2,588.728,
UID_26_25_3_all,978.924,
UID_26_25_4_all-3,775.78,
UID_26_26_1_all-3,561.962,
UID_26_26_2_all-11,594.158,
UID_26_27_1_all-4,652.996,
UID_26_27_2_all-3,615.74,
UID_26_27_3_all-19,741.198,
UID_26_28_1_all-6,735.629,
UID_26_28_2_all-3,630.089,
UID_26_29_1_all-4,639.08,
UID_26_3_1_all-3,544.754,
UID_26_3_2_all-2,495.379,
