Contour,Area,hem2Model (normalized mode 1),hem2Model (normalized mode 2)
UID_H1_1_1_hem-15,20285.8,0.167588,-0.735453
UID_H1_10_1_hem-19,6644.77,2.44498,-0.680205
UID_H1_11_1_hem-13,16740.2,0.30731,-1.33871
UID_H1_15_1_hem-4,15339.3,0.360389,-1.63688
UID_H1_16_1_hem-7,2157.42,2.55214,0.11599
UID_H1_16_2_hem-10,6550.33,2.29052,2.56078
UID_H1_19_1_hem-4,19242.5,0.0808426,-1.23205
UID_H1_2_1_hem-5,19009.7,0.100077,-1.26827
UID_H1_20_1_hem-25,20032.7,0.0301577,-1.16962
UID_H1_21_1_hem-3,18177.1,0.189106,-1.29778
UID_H1_22_1_hem-2,16691.2,0.252711,-1.53013
UID_H1_23_1_hem-14,27408.7,0.229096,1.24746
UID_H1_25_1_hem-14,17778.1,0.209724,-1.28293
UID_H1_27_1_hem-11,37010.6,-0.824472,0.516057
UID_H1_29_1_hem-2,20416.1,0.0172975,-1.05972
UID_H1_3_1_hem-3,27477.2,-0.334655,-0.186212
UID_H1_30_1_hem-36,42670.9,-1.16018,0.67219
UID_H1_31_1_hem-4,21332.7,-0.0635498,-1.06007
UID_H1_32_1_hem-27,31353.3,-0.601924,-0.111543
UID_H1_33_1_hem-17,10058.9,2.36192,-1.04206
UID_H1_34_1_hem-26,23272.2,-0.131597,-0.668177
UID_H1_35_1_hem-35,29245,-0.315798,0.0899918
UID_H1_36_1_hem-27,31455.1,-0.394101,0.356574
UID_H1_38_1_hem-5,19017.3,0.21151,-0.877215
UID_H1_39_1_hem-6,26557.5,-0.0871801,0.32843
UID_H1_40_1_hem-14,19787.9,0.143401,-0.79377
UID_H1_44_1_hem-15,29183.4,-0.490091,-0.302824
UID_H1_5_1_hem-2,23111.6,0.338347,0.362107
UID_H1_6_1_hem-2,23065,0.335393,0.327516
UID_H1_7_1_hem-19,21937,-0.0571571,-0.878161
UID_H1_8_1_hem-8,3268.22,3.09147,2.044
UID_H1_9_1_hem-25,19937.6,0.0785932,-1.03074
UID_H13_1_1_hem-11,22786.1,-0.0461388,-0.439258
UID_H13_1_2_hem-11,15985.5,0.336806,-1.43149
UID_H13_1_3_hem-7,7548.64,2.5083,-0.921708
UID_H13_1_4_hem-18,24481.3,-0.205848,-0.634674
UID_H13_10_1_hem-11,20899.2,-0.00497401,-0.996637
UID_H13_10_2_hem-10,18581.5,0.144667,-1.21112
UID_H13_11_1_hem-12,20518.3,0.0163472,-1.05107
UID_H13_11_2_hem-14,33258.2,-0.673331,0.177283
UID_H13_11_3_hem-14,39890.2,-0.931409,0.623111
UID_H13_11_4_hem-9,21070.4,-0.011591,-0.95892
UID_H13_11_5_hem-12,27375,-0.294203,0.0245223
UID_H13_12_1_hem-17,39001.6,-0.915293,0.673598
UID_H13_12_2_hem-16,39421.5,-0.85809,0.763042
UID_H13_12_3_hem-9,25489.3,-0.255185,-0.488373
UID_H13_12_4_hem-15,23398.7,-0.124305,-0.595758
UID_H13_13_1_hem-15,43147.8,-1.03917,0.933368
UID_H13_13_2_hem-3,36540.5,-0.563631,0.8905
UID_H13_13_3_hem-19,43358.4,-1.10129,1.00106
UID_H13_13_4_hem-3,33495.5,-0.670256,0.229669
UID_H13_14_1_hem-8,17155,0.291918,-1.22551
UID_H13_14_2_hem-27,37955.9,-0.827304,0.621716
UID_H13_15_1_hem-15,22831.1,-0.119816,-0.787184
UID_H13_15_2_hem-11,24469.8,0.0734485,0.0941242
UID_H13_15_3_hem-20,31229.4,-0.582156,-0.0871431
UID_H13_15_4_hem-10,27265.9,-0.328842,-0.292304
UID_H13_15_5_hem-4,30897.8,-0.613842,-0.266443
UID_H13_16_1_hem-22,36162.5,-0.688108,0.604476
UID_H13_16_2_hem-18,46964.6,-1.29172,1.0612
UID_H13_17_1_hem-8,24437,-0.0578253,-0.257064
UID_H13_17_2_hem-6,29312.8,-0.289049,0.427957
UID_H13_17_3_hem-3,21713.8,-0.0355769,-0.832225
UID_H13_17_4_hem-14,31686.8,-0.483616,0.4624
UID_H13_17_5_hem-11,20542.3,0.141215,-0.411841
UID_H13_17_6_hem-14,29913.3,-0.532276,-0.2171
UID_H13_17_7_hem-15,21160,-0.00939033,-0.918199
UID_H13_17_8_hem-16,22593.9,-0.0585892,-0.640649
UID_H13_18_1_hem-11,32628.9,-0.563778,0.344412
UID_H13_18_2_hem-30,45911.6,-1.26749,0.895474
UID_H13_19_1_hem-5,22583.7,-0.0623773,-0.637003
UID_H13_19_2_hem-9,19191.4,0.146909,-1.05645
UID_H13_19_3_hem-7,20786.9,0.0298495,-0.89368
UID_H13_19_4_hem-2,17579.6,0.228616,-1.30993
UID_H13_19_5_hem-25,48637,-1.4113,1.073
UID_H13_19_6_hem-7,19562,0.0631267,-1.20494
UID_H13_2_1_hem-12,29240.6,-0.505496,-0.370762
UID_H13_2_2_hem-11,24930.9,-0.210387,-0.523679
UID_H13_2_3_hem-6,27763.8,-0.221421,-0.0951596
UID_H13_2_4_hem-4,18524,0.229029,-0.990596
UID_H13_2_5_hem-6,26518.3,-0.329952,-0.470244
UID_H13_2_6_hem-12,31088.3,-0.523854,0.12438
UID_H13_2_7_hem-17,25575.8,-0.117071,-0.195332
UID_H13_2_8_hem-9,22736.1,-0.137354,-0.905794
UID_H13_20_1_hem-14,24871.6,-0.249047,-0.672714
UID_H13_20_2_hem-8,19540,0.16202,-0.875253
UID_H13_20_3_hem-4,18716.5,0.188657,-1.03469
UID_H13_20_4_hem-3,29824.2,-0.159689,0.815153
UID_H13_21_1_hem-19,40443.4,-1.02984,0.589255
UID_H13_21_2_hem-18,26520.7,-0.293125,-0.353683
UID_H13_21_3_hem-20,37429.7,-0.868673,0.416864
UID_H13_21_4_hem-15,32959,-0.684907,0.05144
UID_H13_22_1_hem-5,26371,-0.341361,-0.504981
UID_H13_22_2_hem-13,23564.7,-0.178623,-0.790257
UID_H13_23_1_hem-3,18551.3,0.170115,-1.15755
UID_H13_23_2_hem-5,21238.7,0.0350037,-0.7473
UID_H13_23_3_hem-9,23578.7,-0.170189,-0.755322
UID_H13_23_4_hem-9,41437.8,-1.12996,0.472837
UID_H13_23_5_hem-5,17323.3,0.210842,-1.43614
UID_H13_24_1_hem-18,43399.9,-1.15126,0.919432
UID_H13_24_2_hem-11,19920.5,2.72041,0.0477913
UID_H13_24_3_hem-31,48775.8,-1.10473,1.75477
UID_H13_25_1_hem-26,48605.2,-1.29876,1.45492
UID_H13_25_2_hem-13,29368.8,-0.385193,0.0626602
UID_H13_25_3_hem-16,36092.4,-0.801999,0.41057
UID_H13_26_1_hem-11,31900,-0.500909,0.375475
UID_H13_26_2_hem-7,17784.5,0.281556,-0.914073
UID_H13_26_3_hem-5,17300.8,0.256301,-1.23236
UID_H13_26_4_hem-13,26524.7,-0.292457,-0.359963
UID_H13_26_5_hem-6,18899.8,0.132457,-1.17966
UID_H13_26_6_hem-8,21058.9,-0.0269857,-1.03998
UID_H13_27_1_hem-7,16862.9,0.264358,-1.39864
UID_H13_27_2_hem-2,14794.2,0.415372,-1.64768
UID_H13_28_1_hem-7,20678.5,0.0263758,-1.02218
UID_H13_28_2_hem-4,30376.5,-0.390575,0.426756
UID_H13_29_1_hem-6,22669.3,-0.136092,-0.886388
UID_H13_29_2_hem-5,22648.8,-0.112545,-0.835411
UID_H13_29_3_hem-15,30688.8,-0.438985,0.395997
UID_H13_29_4_hem-3,18598.3,0.215703,-0.981671
UID_H13_3_1_hem-20,25127.9,-0.221617,-0.508711
UID_H13_3_2_hem-8,27905.9,-0.211074,-0.0527905
UID_H13_3_3_hem-12,4098.21,3.11913,2.57276
UID_H13_3_4_hem-7,47425.8,0.0361724,2.01857
UID_H13_3_5_hem-8,31062.6,-0.521134,0.124664
UID_H13_3_6_hem-19,25410.2,-0.0920593,-0.195223
UID_H13_3_7_hem-15,32310.5,-0.568007,0.283884
UID_H13_30_1_hem-3,19568,0.113995,-1.00736
UID_H13_30_2_hem-4,20769.4,0.0135125,-1.01824
UID_H13_30_3_hem-2,20367.7,0.03304,-1.01589
UID_H13_30_4_hem-2,16468.8,0.279444,-1.504
UID_H13_31_1_hem-9,29076.7,-0.292086,0.162912
UID_H13_31_2_hem-8,23619.8,-0.130061,-0.538931
UID_H13_31_3_hem-7,23816.8,-0.116604,-0.402745
UID_H13_33_1_hem-9,32860,-0.528658,0.353428
UID_H13_33_2_hem-8,20155.1,0.147224,-0.81185
UID_H13_33_3_hem-14,19777.7,0.109497,-1.00851
UID_H13_33_4_hem-11,16757.7,0.316028,-1.12848
UID_H13_33_5_hem-12,19838.9,0.164966,-0.730259
UID_H13_33_6_hem-9,19487.1,0.0751023,-1.15892
UID_H13_34_1_hem-6,30842.9,-0.515743,0.152004
UID_H13_34_2_hem-2,15425.9,0.376178,-1.51418
UID_H13_35_1_hem-11,25454.1,-0.254048,-0.454835
UID_H13_35_2_hem-6,16231.2,0.315318,-1.44654
UID_H13_4_1_hem-20,25257.9,-0.17639,-0.320173
UID_H13_4_2_hem-9,16363.2,0.308968,-1.47455
UID_H13_4_3_hem-6,31770.1,-0.424035,0.665071
UID_H13_4_4_hem-3,14492.4,0.45845,-1.61206
UID_H13_4_5_hem-16,24970.3,-0.207298,-0.501017
UID_H13_4_6_hem-8,28154.7,-0.216948,-0.0304778
UID_H13_4_7_hem-5,18903.7,0.207978,-0.933005
UID_H13_5_1_hem-2,16510.2,0.286179,-1.4678
UID_H13_5_2_hem-13,43013.3,-0.60926,2.61136
UID_H13_5_3_hem-11,28794.1,-0.163358,0.818941
UID_H13_5_4_hem-9,18831.2,0.23603,-0.933069
UID_H13_6_1_hem-3,18067.9,0.254649,-0.919139
UID_H13_6_2_hem-3,16159.3,0.365327,-1.29957
UID_H13_6_3_hem-11,21135.7,-0.00678788,-0.991358
UID_H13_6_4_hem-10,25205.3,-0.268197,-0.648406
UID_H13_6_5_hem-4,16425.8,0.302659,-1.44319
UID_H13_7_1_hem-4,21059.9,0.0519453,-0.697846
UID_H13_7_2_hem-3,15542.7,0.462725,-1.16929
UID_H13_7_3_hem-10,21074.5,-0.0106066,-1.00376
UID_H13_8_1_hem-5,17024.4,0.232335,-1.48153
UID_H13_8_2_hem-7,17955.7,0.219328,-1.21308
UID_H13_8_3_hem-2,20346,0.0288974,-1.054
UID_H13_8_4_hem-9,18680.9,0.162161,-1.13995
UID_H13_9_1_hem-6,20375.5,0.0855523,-0.847988
UID_H13_9_2_hem-21,36084.1,-0.769222,0.502562
UID_H13_9_3_hem-16,28816.4,-0.308758,0.358604
UID_H18_1_1_hem-2,32111.1,-0.68284,-0.193483
UID_H18_10_1_hem-10,37835,-0.845809,0.775266
UID_H18_10_2_hem-27,23657.5,-0.187358,-0.811565
UID_H18_11_1_hem-9,30610.5,-0.465845,0.212462
UID_H18_11_2_hem-8,28800.9,0.17597,1.26348
UID_H18_11_3_hem-3,39789.3,-0.84946,0.901092
UID_H18_11_4_hem-7,21490.5,-0.0242888,-0.917753
UID_H18_11_5_hem-26,42014.2,-0.448632,2.80226
UID_H18_11_6_hem-9,21795.3,0.102443,-0.244219
UID_H18_11_8_hem-9,21737.8,0.091746,-0.51002
UID_H18_11_9_hem-3,22537.7,0.0256967,-0.476647
UID_H18_13_1_hem-4,32867.6,-0.622349,0.201245
UID_H18_14_1_hem-7,20349.6,0.0231263,-1.09428
UID_H18_15_1_hem-20,34110,-0.616657,0.720816
UID_H18_15_2_hem-15,38383.7,-0.934034,0.503677
UID_H18_16_1_hem-21,21347.2,0.00845631,-0.757136
UID_H18_2_1_hem-7,20671.5,0.0681254,-0.869599
UID_H18_3_1_hem-2,24214,-0.12088,-0.439241
UID_H18_4_1_hem-4,32231.9,-0.554216,0.377668
UID_H18_5_1_hem-2,28072.4,-0.374293,-0.164948
UID_H18_5_2_hem,961.424,2.5362,-0.90006
UID_H18_6_1_hem-2,2692.07,1.79766,-3.35341
UID_H18_6_2_hem-2,24455.2,-0.166216,-0.45269
UID_H18_6_3_hem-10,44477.3,0.557031,3.70285
UID_H18_6_4_hem-5,37012.4,-0.103582,3.05931
UID_H18_6_5_hem-6,29561.5,-0.513133,-0.281609
UID_H18_7_1_hem-2,40133,-0.726301,1.61556
UID_H18_8_1_hem-4,26410.9,0.317411,0.591874
UID_H18_9_1_hem-7,27295.4,0.0587335,0.917338
UID_H2_1_1_hem-18,36940,-0.856753,0.419194
UID_H2_1_2_hem-20,46326.2,-1.27711,1.02809
UID_H2_1_3_hem-16,30805,-0.587418,-0.178382
UID_H2_10_1_hem-5,27979.7,1.7222,0.849848
UID_H2_10_2_hem-9,23261.9,-0.153865,-0.796619
UID_H2_10_3_hem-12,11085.5,2.82469,0.275067
UID_H2_10_4_hem-10,23790.1,-0.187386,-0.738886
UID_H2_11_1_hem-4,19908.3,0.074852,-1.09429
UID_H2_11_2_hem-14,32797.3,-0.630731,0.118381
UID_H2_12_1_hem-20,43653.9,-1.15914,0.903827
UID_H2_13_1_hem-23,37200.3,-0.834208,0.560568
UID_H2_13_2_hem-6,19959.1,0.0223125,-1.1873
UID_H2_14_1_hem-14,28504.3,-0.361737,-0.115917
UID_H2_15_1_hem-15,39256.9,-0.87439,0.784834
UID_H2_16_1_hem-23,38920.3,-0.877394,0.766661
UID_H2_17_1_hem-5,48045.7,-1.12159,2.04704
UID_H2_18_1_hem-16,33217.6,-0.511696,0.638398
UID_H2_19_1_hem-17,49261.9,-0.885823,2.35441
UID_H2_2_1_hem-14,31974.2,-0.628196,-0.0263377
UID_H2_20_1_hem-18,41505.6,-1.04191,0.764017
UID_H2_21_1_hem-14,23555.4,0.682951,-0.111677
UID_H2_21_2_hem-6,24718.7,0.172218,0.658096
UID_H2_22_1_hem-27,38746.1,-0.860353,0.919796
UID_H2_23_1_hem-16,38549.2,-0.79043,1.29219
UID_H2_24_1_hem-28,36000.5,-0.82566,0.252479
UID_H2_25_1_hem-9,28251.2,-0.465674,-0.468025
UID_H2_26_1_hem-11,46031.5,-1.21601,1.19191
UID_H2_26_2_hem-20,44585.7,-1.1402,1.17713
UID_H2_27_1_hem-15,46048,-0.996903,1.96703
UID_H2_27_2_hem-9,28320.9,-0.397163,-0.11776
UID_H2_27_3_hem-12,29630.1,-0.459421,-0.129808
UID_H2_28_1_hem-3,19596.4,0.152864,-0.93718
UID_H2_28_2_hem-23,30376,-0.467064,0.222958
UID_H2_29_1_hem-5,26933.9,-0.305297,-0.35932
UID_H2_29_2_hem-9,24376,-0.217406,-0.683105
UID_H2_29_3_hem-9,28757.4,-0.267365,0.115011
UID_H2_3_1_hem-4,21774.5,0.0257278,-0.763533
UID_H2_3_2_hem-5,19224.5,0.120279,-1.11703
UID_H2_3_3_hem-21,40442.5,-0.957696,0.66831
UID_H2_3_4_hem-25,47353.2,-1.19603,1.5414
UID_H2_30_1_hem-3,17047.9,0.297522,-1.23888
UID_H2_30_2_hem-20,42154.8,-0.367613,2.85743
UID_H2_31_1_hem-2,27118.6,-0.352377,-0.427349
UID_H2_31_2_hem-6,26682.6,-0.344528,-0.486225
UID_H2_32_1_hem-26,24170.5,-0.236215,-0.813165
UID_H2_32_2_hem-8,24602.1,-0.226011,-0.679206
UID_H2_32_3_hem-13,25958.4,-0.350002,-0.673298
UID_H2_32_4_hem-2,18481.1,0.183616,-1.14079
UID_H2_33_1_hem-5,30639.3,0.112764,2.9989
UID_H2_33_2_hem-6,31979.4,-0.620005,-0.00729525
UID_H2_33_3_hem-3,28430,-0.36791,0.0426454
UID_H2_34_1_hem-12,27538,-0.405028,-0.45277
UID_H2_34_2_hem-9,24929.3,-0.212461,-0.52853
UID_H2_34_3_hem-4,31722.7,-0.624918,-0.117182
UID_H2_34_4_hem-17,42960.2,-0.563696,1.44698
UID_H2_35_1_hem-4,20691,9.50245E-06,-1.02692
UID_H2_35_2_hem-13,15946.6,3.10127,3.22374
UID_H2_36_1_hem-6,38773.1,-0.599233,2.97523
UID_H2_37_1_hem-5,33189.5,-0.672346,0.0573666
UID_H2_37_2_hem-5,21335.5,-0.0476672,-0.990567
UID_H2_37_3_hem-16,36887.7,-0.860533,0.403005
UID_H2_37_4_hem-14,46051.7,-1.26385,1.00877
UID_H2_37_5_hem-12,30771.3,-0.586346,-0.182464
UID_H2_38_1_hem-7,33441,-0.73709,-0.0545299
UID_H2_38_2_hem-11,20375.4,0.048946,-0.941734
UID_H2_38_3_hem-16,25033.6,-0.226052,-0.536121
UID_H2_38_4_hem-3,41607.7,-1.04646,0.79819
UID_H2_39_1_hem-4,33388.1,-0.599459,0.374376
UID_H2_4_1_hem-16,37813.4,-0.880322,0.470185
UID_H2_40_1_hem-11,31399.8,-0.618756,-0.136192
UID_H2_40_2_hem-19,32106.5,-0.575862,0.24927
UID_H2_40_3_hem-16,35533.5,-0.460063,0.712822
UID_H2_40_4_hem-17,37959.2,-0.933292,0.324914
UID_H2_40_5_hem-22,41517.8,-0.964656,1.19501
UID_H2_41_1_hem-6,25502.2,-0.319268,-0.720897
UID_H2_41_2_hem-23,33515.4,-0.713468,0.0902502
UID_H2_41_3_hem-2,15710.4,0.422817,-1.22045
UID_H2_41_4_hem-3,33260.8,-0.674599,0.138625
UID_H2_41_5_hem-2,16965.5,0.310046,-1.2745
UID_H2_41_6_hem-10,23623.1,-0.160032,-0.727612
UID_H2_42_1_hem-6,13674.3,1.6251,0.227252
UID_H2_43_1_hem-14,26475.7,-0.285122,-0.343143
UID_H2_43_2_hem-10,33228.3,-0.642947,0.0337409
UID_H2_43_3_hem-14,24137.1,-0.179214,-0.580888
UID_H2_44_1_hem-10,27529.3,-0.392074,-0.382585
UID_H2_44_2_hem-8,35857.2,-0.0121552,1.93145
UID_H2_44_3_hem-26,36450,-0.887225,0.191746
UID_H2_45_1_hem-3,4301.36,1.88148,-1.38287
UID_H2_46_1_hem-7,23358.4,-0.135546,-0.719444
UID_H2_46_2_hem-21,36594,-0.80888,0.510528
UID_H2_46_3_hem-10,24975.2,-0.285704,-0.725781
UID_H2_46_4_hem-11,21158.5,-0.0293216,-0.956313
UID_H2_46_5_hem-28,36567.5,-0.859103,0.268071
UID_H2_47_1_hem-10,31664,-0.138457,1.88158
UID_H2_47_2_hem-18,26433.5,-0.217756,-0.136083
UID_H2_47_3_hem-4,37205.2,-0.756464,1.28102
UID_H2_49_1_hem-28,30945.8,-0.597971,-0.188887
UID_H2_49_2_hem-10,28588.5,-0.400948,-0.128233
UID_H2_49_3_hem-14,30057.9,-0.445227,0.148806
UID_H2_5_1_hem-22,41411.2,-1.03649,0.75657
UID_H2_50_1_hem-9,25835.9,-0.180363,-0.133892
UID_H2_50_2_hem-11,26812.9,-0.323372,-0.30703
UID_H2_50_3_hem-11,28604.6,-0.418944,-0.123722
UID_H2_50_4_hem-22,39734.5,-0.817641,0.885595
UID_H2_50_5_hem-7,34295.4,-0.607915,0.385548
UID_H2_51_1_hem-8,40281.6,-0.968075,0.624808
UID_H2_6_1_hem-11,23930,-0.186261,-0.679296
UID_H2_6_2_hem-5,21077.5,-0.0291158,-1.04628
UID_H2_6_3_hem-15,26579.3,-0.253159,-0.096933
UID_H2_6_4_hem-7,30571.3,-0.50368,-0.0903131
UID_H2_6_5_hem-17,27220.9,-0.233876,0.0927076
UID_H2_8_1_hem-3,27575.2,-0.408267,-0.436355
UID_H20_1_1_hem-4,26529.9,-0.368994,-0.595769
UID_H20_1_2_hem-2,19400.9,0.08437,-1.15671
UID_H20_1_3_hem-2,17489.3,0.262158,-1.17009
UID_H20_10_1_hem-4,19730.7,0.130757,-0.970419
UID_H20_10_2_hem-4,19384.2,0.076097,-1.21604
UID_H20_10_3_hem-8,27484.3,-0.267896,0.163473
UID_H20_11_1_hem-3,24251.2,-0.162098,-0.609573
UID_H20_12_1_hem-2,31737.6,-0.611486,-0.0521415
UID_H20_12_2_hem-4,26137.7,-0.308271,-0.480919
UID_H20_13_1_hem-2,16891,0.284239,-1.31044
UID_H20_13_2_hem-11,37392.6,-0.848807,0.562331
UID_H20_13_3_hem-5,18238.6,0.16837,-1.27446
UID_H20_13_4_hem-8,18750.9,0.180568,-1.07799
UID_H20_15_1_hem-2,22324.1,-0.0414102,-0.70782
UID_H20_15_2_hem-6,32908.7,-0.648699,0.171261
UID_H20_15_3_hem-2,18132.6,0.176454,-1.27452
UID_H20_16_1_hem-7,31029.9,-0.453022,0.212589
UID_H20_16_2_hem-2,15881.4,0.372562,-1.36074
UID_H20_16_3_hem-2,15131.5,0.428489,-1.49435
UID_H20_16_4_hem-6,30853.1,-0.250943,0.656921
UID_H20_16_5_hem-2,17434.9,0.227916,-1.37908
UID_H20_18_1_hem-2,18619.7,0.235163,-0.854145
UID_H20_18_2_hem-4,21866.4,-0.047558,-0.846908
UID_H20_19_1_hem-9,31625.7,-0.40998,0.42616
UID_H20_19_2_hem-10,41930.7,-0.987996,1.21163
UID_H20_19_3_hem-3,40625.8,-0.928118,1.05709
UID_H20_2_1_hem-3,25849.6,-0.299689,-0.536063
UID_H20_2_2_hem-13,33110.2,-0.657075,0.258107
UID_H20_2_3_hem-23,33067,-0.708599,-0.0605179
UID_H20_2_4_hem-4,30799,-0.402776,0.430993
UID_H20_2_5_hem-2,16816.7,0.279564,-1.33889
UID_H20_2_6_hem-5,22984.7,-0.143654,-0.848017
UID_H20_20_1_hem-8,42465.2,-0.849781,1.67452
UID_H20_20_2_hem-2,18733.2,0.125888,-1.23868
UID_H20_20_3_hem,1649.37,2.30565,-1.36989
UID_H20_20_4_hem-4,27594.9,-0.308413,-0.125143
UID_H20_20_5_hem-9,18125.5,0.16249,-1.33485
UID_H20_22_1_hem-2,26101.7,-0.0865776,0.0325196
UID_H20_23_1_hem-3,21362.4,-0.028047,-0.971241
UID_H20_23_2_hem-2,21857.7,-0.0241268,-0.78563
UID_H20_23_3_hem-2,18152.2,0.252375,-1.08014
UID_H20_24_1_hem-3,19758.9,0.12562,-0.946517
UID_H20_24_2_hem-2,18430,0.205097,-1.08979
UID_H20_25_1_hem-2,20258.9,0.121098,-0.617467
UID_H20_26_1_hem-2,33187.4,-0.695566,0.0652516
UID_H20_27_1_hem-2,33603.4,-0.709588,0.114625
UID_H20_27_2_hem-2,19009.7,0.147824,-1.03513
UID_H20_28_1_hem-6,20359,0.0798357,-0.932682
UID_H20_28_2_hem-5,19728,0.0928532,-1.04691
UID_H20_28_3_hem-36,37175.2,-0.913011,0.224376
UID_H20_28_4_hem-10,35823.8,-0.81367,0.26349
UID_H20_28_5_hem-12,28150.8,-0.267101,0.174849
UID_H20_28_6_hem-6,18609.7,0.161782,-1.15942
