Contour,Aspect Ratio
UID_H11_10_1_hem-6,1.11296
UID_H11_10_2_hem-14,1.04707
UID_H11_10_3_hem-3,1.04679
UID_H11_11_1_hem-19,1.3475
UID_H11_11_2_hem-18,1.082
UID_H11_12_1_hem-8,1.16568
UID_H11_12_2_hem-4,1.02036
UID_H11_12_3_hem-10,1.09984
UID_H11_12_4_hem-12,1.0545
UID_H11_13_1_hem-2,1.164
UID_H11_13_2_hem-11,1.07798
UID_H11_13_3_hem-6,1.11781
UID_H11_13_4_hem-12,1.10516
UID_H11_13_5_hem-10,1.04814
UID_H11_14_1_hem-5,1.49877
UID_H11_14_2_hem-29,1.13858
UID_H11_14_3_hem-18,1.21897
UID_H11_14_4_hem-18,1.21526
UID_H11_15_1_hem-14,1.21216
UID_H11_15_2_hem-14,1.38986
UID_H11_15_3_hem-16,1.14496
UID_H11_15_4_hem-6,1.04739
UID_H11_16_1_hem-14,1.37519
UID_H11_16_2_hem-16,1.15404
UID_H11_17_1_hem-28,1.17503
UID_H11_17_2_hem-11,1.40128
UID_H11_18_1_hem-14,1.13583
UID_H11_18_2_hem-14,1.07595
UID_H11_19_1_hem-16,1.20951
UID_H11_19_2_hem-15,1.39679
UID_H11_19_3_hem-22,1.14054
UID_H11_19_4_hem-18,1.05326
UID_H11_1_1_hem-13,1.11138
UID_H11_20_1_hem-8,1.17882
UID_H11_20_2_hem-14,1.27237
UID_H11_21_1_hem-14,1.11753
UID_H11_21_2_hem-15,1.10479
UID_H11_3_1_hem-8,1.12095
UID_H11_4_1_hem-23,1.13347
UID_H11_5_1_hem-20,1.47743
UID_H11_6_1_hem-5,1.10294
UID_H11_6_2_hem-9,1.48384
UID_H11_7_1_hem-29,1.12492
UID_H11_8_1_hem-9,1.34783
UID_H11_8_2_hem-12,1.09814
UID_H11_9_1_hem-8,1.12702
UID_H11_9_2_hem-22,1.17878
UID_H12_10_1_hem-32,1.04263
UID_H12_10_2_hem-10,1.30909
UID_H12_11_1_hem-11,1.28876
UID_H12_11_2_hem-16,1.13819
UID_H12_11_3_hem-11,1.03781
UID_H12_12_1_hem-8,1.02161
UID_H12_12_2_hem-10,1.0866
UID_H12_12_3_hem-19,1.27377
UID_H12_12_4_hem-11,1.25603
UID_H12_12_5_hem-7,1.17652
UID_H12_12_6_hem-6,1.19783
UID_H12_12_7_hem-12,1.0517
UID_H12_13_1_hem-9,1.16586
UID_H12_13_2_hem-9,1.09984
UID_H12_13_3_hem-9,1.08423
UID_H12_13_4_hem-7,1.11999
UID_H12_13_5_hem-6,1.18861
UID_H12_13_6_hem-11,1.16213
UID_H12_13_7_hem-3,1.05492
UID_H12_14_1_hem-8,1.17486
UID_H12_14_2_hem-7,1.05603
UID_H12_14_3_hem-4,1.24481
UID_H12_15_1_hem-13,1.05653
UID_H12_15_2_hem-12,1.07578
UID_H12_15_3_hem-7,1.19704
UID_H12_15_4_hem-6,1.13765
UID_H12_15_5_hem-4,0.976741
UID_H12_15_6_hem-3,1.11207
UID_H12_15_7_hem-28,1.29581
UID_H12_16_1_hem-9,1.06574
UID_H12_16_2_hem-9,0.994039
UID_H12_17_1_hem-9,1.196
UID_H12_17_2_hem-7,1.21256
UID_H12_18_1_hem-4,1.12559
UID_H12_18_2_hem-9,1.11325
UID_H12_18_3_hem-9,1.18011
UID_H12_18_4_hem-16,1.1082
UID_H12_18_5_hem-9,1.17267
UID_H12_19_1_hem-10,1.0912
UID_H12_19_2_hem-15,1.16423
UID_H12_19_3_hem-5,1.15925
UID_H12_19_4_hem-12,1.03358
UID_H12_19_5_hem-8,1.04643
UID_H12_19_6_hem-5,1.15184
UID_H12_1_1_hem-7,1.26498
UID_H12_1_2_hem-7,1.10378
UID_H12_1_3_hem-8,1.17113
UID_H12_1_4_hem-3,1.95843
UID_H12_1_5_hem-4,1.167
UID_H12_1_6_hem-9,1.12976
UID_H12_20_1_hem-10,1.08985
UID_H12_20_2_hem-13,1.1637
UID_H12_20_3_hem-10,1.15848
UID_H12_20_4_hem-11,1.04075
UID_H12_20_5_hem-4,1.2193
UID_H12_21_1_hem-5,1.5311
UID_H12_22_1_hem-9,1.68222
UID_H12_22_2_hem-6,1.30003
UID_H12_22_3_hem-9,1.10318
UID_H12_22_4_hem-18,2.06591
UID_H12_22_5_hem-9,1.35428
UID_H12_22_6_hem-8,1.03987
UID_H12_22_7_hem-3,1.08738
UID_H12_22_8_hem-10,1.25651
UID_H12_23_1_hem-20,1.08152
UID_H12_23_2_hem-18,1.12152
UID_H12_23_3_hem-3,1.0524
UID_H12_23_4_hem-17,1.06767
UID_H12_24_1_hem-9,1.20013
UID_H12_24_2_hem-9,1.06725
UID_H12_24_3_hem-8,1.08786
UID_H12_24_4_hem-10,1.20666
UID_H12_24_5_hem-8,1.01394
UID_H12_24_6_hem-10,1.23898
UID_H12_24_7_hem-4,1.11179
UID_H12_25_10_hem-10,1.21002
UID_H12_25_1_hem-8,1.26707
UID_H12_25_2_hem-15,1.21947
UID_H12_25_3_hem-14,1.16969
UID_H12_25_4_hem-7,1.27616
UID_H12_25_5_hem-10,1.06595
UID_H12_25_6_hem-15,1.06255
UID_H12_25_7_hem-18,1.08862
UID_H12_25_8_hem-8,1.14498
UID_H12_25_9_hem-6,1.24197
UID_H12_26_1_hem-11,1.07937
UID_H12_26_2_hem-12,1.11204
UID_H12_26_3_hem-11,1.05932
UID_H12_26_4_hem-11,1.18593
UID_H12_26_5_hem-7,1.20611
UID_H12_26_6_hem-10,1.08482
UID_H12_26_7_hem-7,1.07541
UID_H12_26_8_hem-13,1.09074
UID_H12_27_1_hem-11,1.06256
UID_H12_27_2_hem-30,1.10624
UID_H12_27_3_hem-16,1.13295
UID_H12_28_1_hem-7,1.09419
UID_H12_28_2_hem-4,1.02207
UID_H12_28_3_hem-5,0.880063
UID_H12_28_4_hem-8,1.05213
UID_H12_29_1_hem-7,1.18369
UID_H12_29_2_hem-8,1.13807
UID_H12_29_3_hem-11,1.00231
UID_H12_29_4_hem-13,1.2521
UID_H12_2_1_hem-3,1.10189
UID_H12_2_2_hem-12,1.14088
UID_H12_2_3_hem-11,1.12967
UID_H12_2_4_hem-3,1.27585
UID_H12_2_5_hem-10,1.03955
UID_H12_2_6_hem-12,1.1088
UID_H12_30_1_hem-11,1.56873
UID_H12_30_2_hem-6,1.16917
UID_H12_30_3_hem-9,1.08989
UID_H12_30_4_hem-6,1.03618
UID_H12_30_5_hem-23,1.03644
UID_H12_30_6_hem-6,1.1349
UID_H12_30_7_hem-7,1.29475
UID_H12_31_1_hem-5,1.38683
UID_H12_31_2_hem-18,1.32592
UID_H12_31_3_hem-10,1.25598
UID_H12_31_4_hem-14,1.21607
UID_H12_31_5_hem-16,1.18075
UID_H12_31_6_hem-17,1.07267
UID_H12_31_7_hem-12,1.20899
UID_H12_32_1_hem-4,1.18386
UID_H12_32_2_hem-5,1.26929
UID_H12_32_3_hem-14,1.06273
UID_H12_32_4_hem-13,1.12209
UID_H12_32_5_hem-3,1.06709
UID_H12_32_6_hem-7,1.0747
UID_H12_32_7_hem-4,1.06101
UID_H12_33_10_hem-16,1.21293
UID_H12_33_11_hem-15,1.02033
UID_H12_33_12_hem-8,1.23631
UID_H12_33_13_hem-12,1.16685
UID_H12_33_1_hem-14,1.23957
UID_H12_33_2_hem-14,1.1819
UID_H12_33_3_hem-3,1.06307
UID_H12_33_4_hem-2,1.27324
UID_H12_33_5_hem-11,1.06683
UID_H12_33_6_hem-7,1.21084
UID_H12_33_7_hem-2,1.29794
UID_H12_33_8_hem-15,1.05615
UID_H12_33_9_hem-12,1.08763
UID_H12_34_1_hem-5,1.03964
UID_H12_34_2_hem-12,1.02626
UID_H12_34_3_hem-23,1.07243
UID_H12_34_4_hem-5,1.05988
UID_H12_34_5_hem-8,1.31815
UID_H12_35_1_hem-8,1.04916
UID_H12_35_2_hem-8,1.14153
UID_H12_35_3_hem-8,1.08995
UID_H12_35_4_hem-12,1.02004
UID_H12_35_5_hem-10,1.04761
UID_H12_3_1_hem-4,1.22558
UID_H12_3_2_hem-8,1.27494
UID_H12_3_3_hem-17,1.22061
UID_H12_3_4_hem-10,1.22745
UID_H12_3_5_hem-6,1.18848
UID_H12_3_6_hem-11,0.940856
UID_H12_4_1_hem-15,1.23277
UID_H12_4_2_hem-5,1.1868
UID_H12_4_3_hem-10,1.19986
UID_H12_4_4_hem-21,1.20368
UID_H12_4_5_hem-12,1.16918
UID_H12_5_1_hem-13,0.910738
UID_H12_5_2_hem-16,1.26715
UID_H12_5_3_hem-26,1.09532
UID_H12_5_4_hem-9,1.85012
UID_H12_5_5_hem-9,1.15744
UID_H12_6_1_hem-2,1.23442
UID_H12_6_2_hem-21,1.16175
UID_H12_6_3_hem-12,1.10944
UID_H12_6_4_hem-5,1.19646
UID_H12_7_1_hem-12,1.18016
UID_H12_7_2_hem-7,1.08041
UID_H12_7_3_hem-9,1.05036
UID_H12_7_4_hem-8,1.10328
UID_H12_7_5_hem-10,1.04263
UID_H12_7_6_hem-10,1.27498
UID_H12_8_1_hem-9,1.09916
UID_H12_8_2_hem-23,1.01599
UID_H12_8_3_hem-4,1.10467
UID_H12_8_4_hem-14,1.08216
UID_H12_9_1_hem-20,1.11267
UID_H15_10_1_hem-13,1.02855
UID_H15_10_2_hem-5,1.07465
UID_H15_10_3_hem-12,1.01254
UID_H15_10_4_hem-3,1.05614
UID_H15_10_5_hem-8,1.23794
UID_H15_11_1_hem-4,1.01853
UID_H15_11_2_hem-4,1.0903
UID_H15_11_3_hem-21,1.10407
UID_H15_11_4_hem-5,1.06142
UID_H15_12_1_hem-4,1.45763
UID_H15_12_2_hem-15,1.36991
UID_H15_13_1_hem-19,1.05364
UID_H15_13_2_hem-13,1.10969
UID_H15_13_3_hem-9,1.23012
UID_H15_14_1_hem-5,1.25712
UID_H15_14_2_hem-6,1.21326
UID_H15_14_3_hem-7,1.1401
UID_H15_14_4_hem-9,1.11627
UID_H15_14_5_hem-6,1.18993
UID_H15_14_6_hem-3,1.20344
UID_H15_14_7_hem-2,1.24557
UID_H15_14_8_hem-3,1.12053
UID_H15_15_1_hem-2,1.14428
UID_H15_15_2_hem-10,1.26066
UID_H15_15_3_hem-8,1.01773
UID_H15_15_4_hem-5,1.21551
UID_H15_15_5_hem-19,1.05746
UID_H15_15_6_hem-3,1.07414
UID_H15_15_7_hem-8,1.02454
UID_H15_15_8_hem-3,1.20862
UID_H15_15_9_hem-3,1.11955
UID_H15_16_1_hem-11,1.11864
UID_H15_16_2_hem-22,1.0683
UID_H15_16_3_hem-4,1.04822
UID_H15_16_4_hem-7,1.04945
UID_H15_16_5_hem-7,1.07403
UID_H15_16_6_hem-19,1.17757
UID_H15_16_7_hem-4,1.14639
UID_H15_16_8_hem-5,1.03677
UID_H15_16_9_hem-8,1.0772
UID_H15_17_1_hem-3,1.0079
UID_H15_17_2_hem-4,1.0839
UID_H15_17_3_hem-21,1.04423
UID_H15_17_4_hem-12,1.10676
UID_H15_17_5_hem-13,1.02871
UID_H15_18_1_hem-11,1.02445
UID_H15_18_2_hem-3,1.12882
UID_H15_18_3_hem-9,1.06959
UID_H15_18_4_hem-10,1.24485
UID_H15_18_5_hem-3,1.11504
UID_H15_18_6_hem-4,1.05966
UID_H15_19_10_hem-6,0.948137
UID_H15_19_1_hem-2,1.24105
UID_H15_19_2_hem-5,1.08546
UID_H15_19_3_hem-3,1.02357
UID_H15_19_4_hem-17,1.04262
UID_H15_19_5_hem-6,1.05242
UID_H15_19_6_hem-2,1.15719
UID_H15_19_7_hem-5,1.03117
UID_H15_19_8_hem-11,1.05753
UID_H15_19_9_hem-12,1.1515
UID_H15_1_1_hem-9,1.31257
UID_H15_1_2_hem-2,1.11476
UID_H15_1_3_hem-14,1.00876
UID_H15_1_4_hem-9,1.07281
UID_H15_1_5_hem-22,1.03873
UID_H15_20_1_hem-2,1.02251
UID_H15_20_2_hem-3,1.09681
UID_H15_20_3_hem-2,1.06022
UID_H15_20_4_hem-2,1.11915
UID_H15_20_5_hem-10,1.06591
UID_H15_20_6_hem-2,1.31128
UID_H15_20_7_hem-7,1.15417
UID_H15_21_1_hem-2,1.14113
UID_H15_21_2_hem-4,1.0406
UID_H15_21_3_hem-2,1.0367
UID_H15_21_4_hem-4,1.08468
UID_H15_21_5_hem-8,1.0734
UID_H15_21_6_hem-3,1.18708
UID_H15_21_7_hem-2,1.08778
UID_H15_22_1_hem-31,1.04897
UID_H15_22_2_hem-14,1.02947
UID_H15_22_3_hem-4,1.29043
UID_H15_22_4_hem-13,1.16045
UID_H15_22_5_hem-6,1.17183
UID_H15_22_6_hem-2,1.10897
UID_H15_23_10_hem-2,1.03842
UID_H15_23_11_hem-5,1.24121
UID_H15_23_12_hem-2,1.34242
UID_H15_23_1_hem-8,1.14792
UID_H15_23_2_hem-5,1.21516
UID_H15_23_3_hem-13,1.09943
UID_H15_23_4_hem-3,1.0823
UID_H15_23_5_hem-5,1.16865
UID_H15_23_6_hem-12,1.01892
UID_H15_23_7_hem-18,1.05106
UID_H15_23_8_hem-7,1.05557
UID_H15_23_9_hem-3,1.21683
UID_H15_24_10_hem-8,1.16238
UID_H15_24_11_hem-14,1.11108
UID_H15_24_12_hem-6,1.05674
UID_H15_24_13_hem-3,1.41097
UID_H15_24_14_hem-5,1.43312
UID_H15_24_15_hem-4,1.24705
UID_H15_24_16_hem-3,1.19656
UID_H15_24_1_hem-7,1.04586
UID_H15_24_2_hem-8,1.04025
UID_H15_24_3_hem-2,1.10419
UID_H15_24_4_hem-4,1.24996
UID_H15_24_5_hem-4,1.05605
UID_H15_24_6_hem-2,1.18936
UID_H15_24_7_hem-2,1.22038
UID_H15_24_8_hem-5,1.32772
UID_H15_24_9_hem-3,0.97416
UID_H15_25_10_hem-3,1.10185
UID_H15_25_11_hem-3,1.04829
UID_H15_25_12_hem-14,1.08007
UID_H15_25_13_hem-2,1.0848
UID_H15_25_14_hem-6,1.02532
UID_H15_25_15_hem-2,1.11267
UID_H15_25_16_hem,1.2036
UID_H15_25_1_hem-3,1.27758
UID_H15_25_2_hem-2,1.08608
UID_H15_25_3_hem-9,1.05644
UID_H15_25_4_hem-14,1.11154
UID_H15_25_5_hem-5,1.21457
UID_H15_25_6_hem-16,1.06156
UID_H15_25_7_hem-6,1.14237
UID_H15_25_8_hem-5,1.31225
UID_H15_25_9_hem-3,1.11369
UID_H15_2_1_hem-5,1.05378
UID_H15_2_2_hem-20,1.5035
UID_H15_2_3_hem-8,0.96065
UID_H15_2_4_hem-9,1.34244
UID_H15_2_5_hem-11,1.15985
UID_H15_3_1_hem-14,1.3422
UID_H15_3_2_hem-10,1.14662
UID_H15_3_3_hem-17,1.03265
UID_H15_4_1_hem-25,1.60597
UID_H15_4_2_hem-16,1.11006
UID_H15_4_3_hem-12,1.07978
UID_H15_5_1_hem-13,1.10443
UID_H15_5_2_hem-15,1.10752
UID_H15_5_3_hem-6,1.10606
UID_H15_5_4_hem-14,1.02884
UID_H15_5_5_hem-8,1.0802
UID_H15_5_6_hem-16,1.27322
UID_H15_5_7_hem-11,0.976733
UID_H15_6_1_hem-6,1.14153
UID_H15_6_2_hem-6,1.27632
UID_H15_6_3_hem-6,1.11753
UID_H15_7_1_hem-15,1.09354
UID_H15_7_2_hem-15,0.99851
UID_H15_8_1_hem-10,1.13045
UID_H15_8_2_hem-7,0.974959
UID_H15_8_3_hem-5,0.71824
UID_H15_8_4_hem-8,1.17363
UID_H15_8_5_hem-6,1.13887
UID_H15_9_1_hem-7,1.03173
UID_H15_9_2_hem-4,1.11152
UID_H15_9_3_hem-2,1.07715
UID_H15_9_4_hem-6,1.02781
UID_H16_10_1_hem-22,1.3606
UID_H16_11_1_hem-2,1.02852
UID_H16_11_2_hem-2,1.13254
UID_H16_12_1_hem-2,1.26958
UID_H16_12_2_hem-3,1.0092
UID_H16_12_3_hem-8,1.12727
UID_H16_12_4_hem-14,1.12605
UID_H16_12_5_hem-13,1.04404
UID_H16_12_6_hem-5,1.22341
UID_H16_13_1_hem-19,1.25289
UID_H16_14_1_hem-8,1.03104
UID_H16_17_1_hem-4,1.09269
UID_H16_17_2_hem-11,1.31166
UID_H16_17_3_hem-4,1.02951
UID_H16_18_1_hem-13,1.15026
UID_H16_18_2_hem-2,1.07919
UID_H16_18_3_hem-3,1.15181
UID_H16_19_1_hem-8,1.44187
UID_H16_19_2_hem-2,1.15774
UID_H16_19_3_hem-2,1.14357
UID_H16_1_1_hem-12,1.34486
UID_H16_1_2_hem-4,1.25313
UID_H16_1_3_hem-2,1.05978
UID_H16_20_1_hem-5,1.02692
UID_H16_20_2_hem-21,1.1307
UID_H16_20_3_hem-4,1.00496
UID_H16_21_1_hem-10,0.918117
UID_H16_21_2_hem-3,1.19567
UID_H16_21_3_hem-2,1.07395
UID_H16_21_4_hem-14,1.16214
UID_H16_22_1_hem-11,1.26059
UID_H16_23_1_hem-8,1.16199
UID_H16_23_2_hem-8,1.06715
UID_H16_24_1_hem-10,1.14306
UID_H16_25_1_hem-10,1.32524
UID_H16_25_2_hem-20,1.33604
UID_H16_25_3_hem-11,1.53962
UID_H16_26_1_hem-10,1.29582
UID_H16_26_2_hem-13,1.16948
UID_H16_28_1_hem-8,1.10906
UID_H16_29_1_hem-17,1.19683
UID_H16_29_2_hem-26,1.20582
UID_H16_29_3_hem-6,1.02443
UID_H16_2_1_hem-2,1.34309
UID_H16_2_2_hem-2,1.12048
UID_H16_30_1_hem-10,1.19851
UID_H16_30_2_hem-21,1.2063
UID_H16_30_3_hem-6,1.01825
UID_H16_31_1_hem-3,1.20573
UID_H16_31_2_hem-6,1.05751
UID_H16_31_3_hem-10,1.19467
UID_H16_31_4_hem-38,1.08755
UID_H16_32_1_hem-3,1.06671
UID_H16_32_2_hem-9,1.06666
UID_H16_3_1_hem,1.59224
UID_H16_4_1_hem-2,1.05196
UID_H16_4_2_hem-2,1.01507
UID_H16_4_3_hem-4,1.27985
UID_H16_5_1_hem-2,1.05386
UID_H16_5_2_hem-2,1.02735
UID_H16_5_3_hem-7,1.0367
UID_H16_5_4_hem-2,1.13145
UID_H16_6_1_hem-11,1.20375
UID_H16_7_1_hem-2,1.19737
UID_H16_8_1_hem-8,1.10732
UID_H16_8_2_hem-5,1.01499
UID_H16_9_1_hem-4,1.0735
UID_H16_9_2_hem-3,1.19136
UID_H16_9_3_hem-5,1.04032
UID_H17_10_1_hem-2,1.23346
UID_H17_11_1_hem,1.58901
UID_H17_11_2_hem-12,1.14871
UID_H17_11_3_hem-13,1.05378
UID_H17_11_4_hem-9,1.1539
UID_H17_12_1_hem-3,1.15403
UID_H17_12_2_hem-3,1.12551
UID_H17_12_3_hem-4,1.27448
UID_H17_12_4_hem-9,1.15974
UID_H17_12_5_hem-4,1.17074
UID_H17_13_1_hem-9,1.1284
UID_H17_13_2_hem-10,1.09104
UID_H17_14_1_hem-9,1.26274
UID_H17_14_2_hem-13,1.13273
UID_H17_14_3_hem-6,1.20517
UID_H17_14_4_hem-9,1.29486
UID_H17_14_5_hem-7,1.15515
UID_H17_14_6_hem-8,1.1337
UID_H17_14_7_hem-6,1.09295
UID_H17_15_1_hem-5,1.06894
UID_H17_15_2_hem-9,1.14987
UID_H17_15_3_hem-3,1.14746
UID_H17_15_4_hem-6,1.3597
UID_H17_15_5_hem-7,1.04071
UID_H17_16_1_hem-5,1.57004
UID_H17_16_2_hem-13,1.20225
UID_H17_17_1_hem-4,1.24377
UID_H17_17_2_hem-2,1.1925
UID_H17_17_3_hem-2,1.26515
UID_H17_17_4_hem-9,1.34925
UID_H17_17_5_hem-8,1.09068
UID_H17_18_1_hem-4,1.0709
UID_H17_18_2_hem-3,1.20677
UID_H17_18_3_hem-5,1.09835
UID_H17_18_4_hem-2,0.77349
UID_H17_18_5_hem-3,1.18665
UID_H17_18_6_hem-8,1.09175
UID_H17_19_1_hem-8,1.23606
UID_H17_19_2_hem-12,1.09769
UID_H17_19_3_hem-13,1.08645
UID_H17_19_4_hem-5,1.13171
UID_H17_19_5_hem-10,1.07219
UID_H17_1_1_hem-10,2.55597
UID_H17_1_2_hem-6,1.11634
UID_H17_1_3_hem-8,1.2148
UID_H17_1_4_hem-6,1.28086
UID_H17_20_1_hem-3,1.06472
UID_H17_20_2_hem-8,1.15339
UID_H17_20_3_hem-12,1.01877
UID_H17_20_4_hem-11,1.30885
UID_H17_20_5_hem-4,1.26712
UID_H17_20_6_hem-7,1.27131
UID_H17_20_7_hem-17,1.15171
UID_H17_20_8_hem-12,1.10432
UID_H17_21_1_hem-10,1.09253
UID_H17_21_2_hem-11,1.30403
UID_H17_21_3_hem-8,1.28786
UID_H17_22_1_hem-16,1.11256
UID_H17_22_2_hem-8,1.43472
UID_H17_22_3_hem-4,1.10367
UID_H17_22_4_hem-10,1.2166
UID_H17_22_5_hem-12,1.08756
UID_H17_22_6_hem-15,1.03693
UID_H17_23_1_hem-15,1.08287
UID_H17_23_2_hem-9,1.42377
UID_H17_23_3_hem-5,1.07871
UID_H17_24_1_hem-16,1.09022
UID_H17_24_2_hem-12,1.77215
UID_H17_25_1_hem-18,1.44243
UID_H17_25_2_hem-3,1.15877
UID_H17_25_3_hem-4,1.24951
UID_H17_26_1_hem-2,1.14701
UID_H17_26_2_hem-17,1.26628
UID_H17_27_1_hem-18,1.37532
UID_H17_27_2_hem-12,1.08317
UID_H17_27_3_hem-9,1.07408
UID_H17_28_1_hem-22,1.19184
UID_H17_29_1_hem-3,1.23326
UID_H17_29_2_hem-9,1.06492
UID_H17_29_3_hem-11,1.09939
UID_H17_29_4_hem-9,1.08642
UID_H17_29_5_hem-4,1.18131
UID_H17_2_1_hem-2,1.01649
UID_H17_2_2_hem-2,1.21375
UID_H17_31_1_hem-16,1.15171
UID_H17_31_2_hem-10,1.168
UID_H17_31_3_hem-10,1.01679
UID_H17_31_4_hem-17,1.06666
UID_H17_32_1_hem-23,1.21544
UID_H17_33_1_hem-19,1.50554
UID_H17_34_1_hem-4,1.05073
UID_H17_35_1_hem-4,1.15124
UID_H17_35_2_hem-8,1.15837
UID_H17_35_3_hem-5,1.191
UID_H17_36_1_hem-8,1.16513
UID_H17_36_2_hem-6,1.0517
UID_H17_36_3_hem-5,1.2099
UID_H17_37_1_hem-7,1.08117
UID_H17_37_2_hem-10,1.03258
UID_H17_37_3_hem-8,1.09259
