Contour,Area,hemModel (normalized mode 1),hemModel (normalized mode 2)
UID_H11_1_1_hem-13,27985.1,0.524944,-0.206738
UID_H11_10_1_hem-6,22508.6,0.227228,0.460277
UID_H11_10_2_hem-14,28077.2,0.60453,-0.0134283
UID_H11_10_3_hem-3,17380,-0.0514034,1.25245
UID_H11_11_1_hem-19,23044.4,0.0999188,-0.154289
UID_H11_11_2_hem-18,32711,0.790117,-0.616922
UID_H11_12_1_hem-8,34589,0.762471,-1.08445
UID_H11_12_2_hem-4,4618.47,-3.33192,-0.767527
UID_H11_12_3_hem-10,32536.2,0.765301,-0.618384
UID_H11_12_4_hem-12,25718.7,0.428937,0.164999
UID_H11_13_1_hem-2,20725.7,0.106069,0.604199
UID_H11_13_2_hem-11,32102.4,0.740164,-0.590799
UID_H11_13_3_hem-6,19200.7,0.0399492,0.90124
UID_H11_13_4_hem-12,27070.4,0.488558,-0.0467277
UID_H11_13_5_hem-10,25823.8,0.430984,0.159364
UID_H11_14_1_hem-5,23210.2,-0.0732195,-0.726583
UID_H11_14_2_hem-29,35955.7,0.989513,-0.867917
UID_H11_14_3_hem-18,21310.6,0.114621,0.449446
UID_H11_14_4_hem-18,28322.4,0.441966,-0.527998
UID_H11_15_1_hem-14,34735.2,0.849869,-0.959091
UID_H11_15_2_hem-14,28209.2,0.408257,-0.729573
UID_H11_15_3_hem-16,34328.8,0.735337,-1.13766
UID_H11_15_4_hem-6,33644.6,0.880223,-0.574743
UID_H11_16_1_hem-14,32952.5,0.693326,-1.08872
UID_H11_16_2_hem-16,28268.4,0.546727,-0.243744
UID_H11_17_1_hem-28,36706.3,0.941764,-1.08027
UID_H11_17_2_hem-11,30710.8,0.606351,-0.825125
UID_H11_18_1_hem-14,31279.6,0.717894,-0.508024
UID_H11_18_2_hem-14,27495.2,0.549046,-0.00995882
UID_H11_19_1_hem-16,34930,0.870003,-0.944663
UID_H11_19_2_hem-15,28913.4,0.442793,-0.817706
UID_H11_19_3_hem-22,34574,0.765526,-1.11989
UID_H11_19_4_hem-18,34011.7,0.912077,-0.584845
UID_H11_20_1_hem-8,23317.7,0.249653,0.262082
UID_H11_20_2_hem-14,40447.3,0.807153,-2.1737
UID_H11_21_1_hem-14,32904.6,0.646207,-1.03313
UID_H11_21_2_hem-15,26826.4,0.531292,0.0903859
UID_H11_3_1_hem-8,42267.1,1.20257,-1.6112
UID_H11_4_1_hem-23,16269,-2.72098,-0.372484
UID_H11_5_1_hem-20,29149.7,0.456195,-0.840151
UID_H11_6_1_hem-5,42197.4,1.19423,-1.57099
UID_H11_6_2_hem-9,37829,0.828836,-1.82679
UID_H11_7_1_hem-29,38407.6,0.944344,-1.38993
UID_H11_8_1_hem-9,36899.5,0.878595,-1.52618
UID_H11_8_2_hem-12,28811.9,0.5922,-0.228559
UID_H11_9_1_hem-8,30600,0.692789,-0.425234
UID_H11_9_2_hem-22,29195.4,0.568713,-0.382942
UID_H12_1_1_hem-7,28943.2,0.506221,-0.525765
UID_H12_1_2_hem-7,21337.9,0.153684,0.593589
UID_H12_1_3_hem-8,22084.7,0.208482,0.468801
UID_H12_1_4_hem-3,18544.3,-2.42644,-5.31753
UID_H12_1_5_hem-4,29572.2,0.615235,-0.385622
UID_H12_1_6_hem-9,21097.6,0.156489,0.624906
UID_H12_10_1_hem-32,44406.7,1.35886,-1.54044
UID_H12_10_2_hem-10,26807.6,0.430744,-0.261302
UID_H12_11_1_hem-11,36138.2,0.270104,-2.26945
UID_H12_11_2_hem-16,33007.4,0.819921,-0.659163
UID_H12_11_3_hem-11,46904.8,1.18754,-2.2591
UID_H12_12_1_hem-8,18742.2,0.0150767,1.01175
UID_H12_12_2_hem-10,19067,0.00547409,0.884169
UID_H12_12_3_hem-19,31856.5,0.696981,-0.767793
UID_H12_12_4_hem-11,24750,0.323578,0.0386633
UID_H12_12_5_hem-7,20273.9,0.0666183,0.616664
UID_H12_12_6_hem-6,19006.1,-0.0136289,0.80092
UID_H12_12_7_hem-12,20766.9,0.171234,0.791001
UID_H12_13_1_hem-9,24375.5,0.268667,0.0381778
UID_H12_13_2_hem-9,41655.4,1.17375,-1.53934
UID_H12_13_3_hem-9,28551.2,0.590301,-0.134381
UID_H12_13_4_hem-7,18844.9,0.0146406,0.938887
UID_H12_13_5_hem-6,21197.9,0.0673062,0.410272
UID_H12_13_6_hem-11,21519.2,0.163286,0.540903
UID_H12_13_7_hem-3,21197.5,0.189891,0.719716
UID_H12_14_1_hem-8,24198.6,0.245405,0.0195937
UID_H12_14_2_hem-7,20970.8,0.162648,0.734686
UID_H12_14_3_hem-4,20156,0.0319284,0.571545
UID_H12_15_1_hem-13,37687.2,1.04604,-0.999817
UID_H12_15_2_hem-12,20254,-2.10259,-0.566027
UID_H12_15_3_hem-7,19491.1,0.0249981,0.752474
UID_H12_15_4_hem-6,21639.4,0.181613,0.530342
UID_H12_15_5_hem-4,2024.48,-3.53539,-2.4703
UID_H12_15_6_hem-3,17390.4,-0.0780977,1.14994
UID_H12_15_7_hem-28,27639.1,0.459951,-0.400703
UID_H12_16_1_hem-9,21070.7,0.175794,0.737295
UID_H12_16_2_hem-9,22509.3,0.27356,0.606908
UID_H12_17_1_hem-9,21496.3,0.0658124,0.333047
UID_H12_17_2_hem-7,33484.4,0.704883,-1.04447
UID_H12_18_1_hem-4,23877.7,0.308353,0.242113
UID_H12_18_2_hem-9,22501.2,0.244929,0.47645
UID_H12_18_3_hem-9,25140.6,0.365647,0.0649737
UID_H12_18_4_hem-16,39156.9,1.06182,-1.33996
UID_H12_18_5_hem-9,19817.1,0.0514115,0.734182
UID_H12_19_1_hem-10,24897.4,0.396802,0.246052
UID_H12_19_2_hem-15,24228.6,0.31441,0.182979
UID_H12_19_3_hem-5,19757.5,0.0594897,0.748106
UID_H12_19_4_hem-12,22853.2,0.268591,0.498901
UID_H12_19_5_hem-8,18902.1,0.0209796,0.986059
UID_H12_19_6_hem-5,23878.9,0.327658,0.310357
UID_H12_2_1_hem-3,22005.6,0.234877,0.592351
UID_H12_2_2_hem-12,25621.9,0.413245,0.0743722
UID_H12_2_3_hem-11,26623.5,0.484212,-0.00902975
UID_H12_2_4_hem-3,4496.1,-2.68545,-0.571578
UID_H12_2_5_hem-10,29521.6,0.684263,-0.137404
UID_H12_2_6_hem-12,29772.9,0.585168,-0.481699
UID_H12_20_1_hem-10,24693.8,0.389093,0.277744
UID_H12_20_2_hem-13,24169,0.316393,0.206206
UID_H12_20_3_hem-10,19753.6,0.0606411,0.748835
UID_H12_20_4_hem-11,22887.2,0.267319,0.482823
UID_H12_20_5_hem-4,18551.6,-0.0448216,0.846115
UID_H12_21_1_hem-5,30181.9,0.409006,-1.22124
UID_H12_22_1_hem-9,34447.2,0.238233,-1.56128
UID_H12_22_2_hem-6,20197.4,0.022869,0.480503
UID_H12_22_3_hem-9,20446,0.109076,0.739268
UID_H12_22_4_hem-18,36268.9,0.418573,-2.81159
UID_H12_22_5_hem-9,48591.5,0.319303,-3.12744
UID_H12_22_6_hem-8,24776.6,0.336027,0.186612
UID_H12_22_7_hem-3,34515.5,0.894664,-0.748617
UID_H12_22_8_hem-10,22296.4,0.173163,0.316618
UID_H12_23_1_hem-20,19106.2,-2.07518,-0.271438
UID_H12_23_2_hem-18,45553.6,1.35978,-1.84687
UID_H12_23_3_hem-3,24878.9,0.329076,0.126729
UID_H12_23_4_hem-17,21499.1,0.123982,0.474864
UID_H12_24_1_hem-9,26264.1,0.428026,-0.0469117
UID_H12_24_2_hem-9,24881.7,0.410531,0.316746
UID_H12_24_3_hem-8,22477.6,0.240889,0.503856
UID_H12_24_4_hem-10,23028.6,0.240057,0.27269
UID_H12_24_5_hem-8,24438.7,0.416413,0.436145
UID_H12_24_6_hem-10,24036.8,0.271095,0.0733383
UID_H12_24_7_hem-4,20496.9,0.125371,0.75185
UID_H12_25_1_hem-8,21933.9,0.163819,0.353175
UID_H12_25_10_hem-10,23142.3,0.240212,0.242338
UID_H12_25_2_hem-15,26227,0.395816,-0.099685
UID_H12_25_3_hem-14,26217.8,0.436821,-0.0333873
UID_H12_25_4_hem-7,18703.6,-0.0719724,0.70762
UID_H12_25_5_hem-10,29095.4,0.631006,-0.188438
UID_H12_25_6_hem-15,24644.1,0.385473,0.318277
UID_H12_25_7_hem-18,22067.4,0.215537,0.549069
UID_H12_25_8_hem-8,19444.7,0.0422342,0.812555
UID_H12_25_9_hem-6,19348.8,-0.0602994,0.571561
UID_H12_26_1_hem-11,27706.7,0.557426,-0.057518
UID_H12_26_2_hem-12,20760.5,0.143887,0.705702
UID_H12_26_3_hem-11,33208.5,0.868672,-0.504751
UID_H12_26_4_hem-11,26298.2,0.423334,-0.0858218
UID_H12_26_5_hem-7,21069.8,0.0231651,0.326805
UID_H12_26_6_hem-10,23596.2,0.319777,0.404752
UID_H12_26_7_hem-7,19382.2,0.0558699,0.910131
UID_H12_26_8_hem-13,28073.3,0.544809,-0.155235
UID_H12_27_1_hem-11,22317.9,0.260672,0.605231
UID_H12_27_2_hem-30,39768.9,1.16261,-1.21646
UID_H12_27_3_hem-16,25880.5,0.396621,-0.00577998
UID_H12_28_1_hem-7,25644.6,0.454429,0.193152
UID_H12_28_2_hem-4,10971.9,-2.41367,1.26957
UID_H12_28_3_hem-5,7701.47,-2.88035,-1.53087
UID_H12_28_4_hem-8,29931.3,0.714963,-0.177684
UID_H12_29_1_hem-7,16217.9,-0.194254,1.20595
UID_H12_29_2_hem-8,22276.5,0.229032,0.503665
UID_H12_29_3_hem-11,22196.7,0.264932,0.668565
UID_H12_29_4_hem-13,32219.2,0.698528,-0.810153
UID_H12_3_1_hem-4,18152,-0.117542,0.77354
UID_H12_3_2_hem-8,24126.8,0.271145,0.0214806
UID_H12_3_3_hem-17,30264.2,0.621387,-0.588369
UID_H12_3_4_hem-10,24787.1,0.31525,0.0427449
UID_H12_3_5_hem-6,19484.8,0.0381889,0.778943
UID_H12_3_6_hem-11,4722.73,-3.40816,-0.669804
UID_H12_30_1_hem-11,42674.9,0.578372,-2.69759
UID_H12_30_2_hem-6,31301.6,0.711982,-0.584151
UID_H12_30_3_hem-9,21494.1,0.202332,0.6621
UID_H12_30_4_hem-6,19753.7,0.115509,0.95614
UID_H12_30_5_hem-23,32761.2,-0.933426,-1.20089
UID_H12_30_6_hem-6,17900.8,-0.0498934,1.05321
UID_H12_30_7_hem-7,29207.2,0.0796504,-1.03517
UID_H12_31_1_hem-5,28548.8,-0.0149484,-1.38118
UID_H12_31_2_hem-18,46527,0.866066,-3.14972
UID_H12_31_3_hem-10,21441.1,0.141667,0.439977
UID_H12_31_4_hem-14,25951.2,0.380927,-0.0686553
UID_H12_31_5_hem-16,25847.3,0.410791,-0.00262858
UID_H12_31_6_hem-17,28916.5,0.615093,-0.177122
UID_H12_31_7_hem-12,25426.6,0.388555,0.0561245
UID_H12_32_1_hem-4,18384.8,-0.0433736,0.91378
UID_H12_32_2_hem-5,20549,0.0568362,0.453375
UID_H12_32_3_hem-14,25232.4,-0.883322,-0.359613
UID_H12_32_4_hem-13,45401.2,1.35493,-1.82963
UID_H12_32_5_hem-3,25143.9,0.342296,0.0965488
UID_H12_32_6_hem-7,35047.2,0.9154,-0.810384
UID_H12_32_7_hem-4,23078.5,0.226031,0.363722
UID_H12_33_1_hem-14,26715.1,0.416996,-0.174489
UID_H12_33_10_hem-16,23045.8,0.235558,0.257601
UID_H12_33_11_hem-15,24445,0.414966,0.431081
UID_H12_33_12_hem-8,23715.2,0.251849,0.108519
UID_H12_33_13_hem-12,27693.6,0.528471,-0.150651
UID_H12_33_2_hem-14,26723.3,0.462676,-0.0984479
UID_H12_33_3_hem-3,19388.1,0.0704845,0.94896
UID_H12_33_4_hem-2,18979.9,-0.0522945,0.673995
UID_H12_33_5_hem-11,29632.6,0.655974,-0.243626
UID_H12_33_6_hem-7,25837.9,0.401443,-0.0113337
UID_H12_33_7_hem-2,2325.78,-2.63353,0.642898
UID_H12_33_8_hem-15,24606.1,0.389055,0.335496
UID_H12_33_9_hem-12,22067.9,0.217925,0.557069
UID_H12_34_1_hem-5,19640.9,0.108756,0.969532
UID_H12_34_2_hem-12,27806.5,0.574822,-0.0197015
UID_H12_34_3_hem-23,11975.9,-1.81188,1.29267
UID_H12_34_4_hem-5,16622,-0.135842,1.26898
UID_H12_34_5_hem-8,28905.5,0.112441,-0.971478
UID_H12_35_1_hem-8,21360.9,0.204648,0.730432
UID_H12_35_2_hem-8,24894.4,0.372739,0.176858
UID_H12_35_3_hem-8,20669,0.163234,0.810111
UID_H12_35_4_hem-12,24001.2,0.350528,0.390858
UID_H12_35_5_hem-10,21320.2,0.188416,0.705517
UID_H12_4_1_hem-15,25040.7,0.334035,0.0194296
UID_H12_4_2_hem-5,22928.1,0.236076,0.339925
UID_H12_4_3_hem-10,34558.1,0.788269,-1.07715
UID_H12_4_4_hem-21,44351.9,1.26235,-1.91588
UID_H12_4_5_hem-12,24043.9,0.231123,0.0703664
UID_H12_5_1_hem-13,28126.3,-1.05029,-1.19933
UID_H12_5_2_hem-16,32658.9,0.657705,-1.00874
UID_H12_5_3_hem-26,39897.5,1.18119,-1.2003
UID_H12_5_4_hem-9,736.535,-2.05398,4.57326
UID_H12_5_5_hem-9,26028.7,-0.0932888,-0.750453
UID_H12_6_1_hem-2,25052,0.142114,-0.462206
UID_H12_6_2_hem-21,41764.7,1.1871,-1.57318
UID_H12_6_3_hem-12,26292.6,0.497861,0.138226
UID_H12_6_4_hem-5,22052.5,0.196256,0.440145
UID_H12_7_1_hem-12,21740.9,0.106959,0.362643
UID_H12_7_2_hem-7,26661.5,0.479679,0.0275727
UID_H12_7_3_hem-9,21285.9,0.184037,0.704282
UID_H12_7_4_hem-8,20598.4,0.113124,0.707986
UID_H12_7_5_hem-10,21668.3,0.223234,0.673855
UID_H12_7_6_hem-10,24802.1,0.298385,-0.0831256
UID_H12_8_1_hem-9,18987.8,0.0419839,0.97047
UID_H12_8_2_hem-23,38436.6,1.05208,-1.11287
UID_H12_8_3_hem-4,40917.7,1.15907,-1.43367
UID_H12_8_4_hem-14,28361,0.575205,-0.125275
UID_H12_9_1_hem-20,40794.2,1.16399,-1.37253
UID_H15_1_1_hem-9,25560.9,0.248646,-0.370911
UID_H15_1_2_hem-2,18565,0.0029021,0.997309
UID_H15_1_3_hem-14,29383,0.592398,-0.286958
UID_H15_1_4_hem-9,26363.6,0.485656,0.114567
UID_H15_1_5_hem-22,39056.3,1.1381,-1.07933
UID_H15_10_1_hem-13,36941.4,1.06939,-0.830421
UID_H15_10_2_hem-5,25074.4,0.411506,0.254044
UID_H15_10_3_hem-12,39372.3,1.15806,-1.10015
UID_H15_10_4_hem-3,18455,0.0156714,1.08648
UID_H15_10_5_hem-8,20684.3,0.0445475,0.445502
UID_H15_11_1_hem-4,20896.9,0.180198,0.796128
UID_H15_11_2_hem-4,20017.6,0.108556,0.840454
UID_H15_11_3_hem-21,29559.3,0.594881,-0.392159
UID_H15_11_4_hem-5,23623.9,0.31465,0.40204
UID_H15_12_1_hem-4,39915.7,1.00113,-1.88065
UID_H15_12_2_hem-15,28574.7,0.33065,-0.970405
UID_H15_13_1_hem-19,40485.6,1.23657,-1.1474
UID_H15_13_2_hem-13,26280.1,0.500376,0.154901
UID_H15_13_3_hem-9,24173.9,0.263652,0.0732908
UID_H15_14_1_hem-5,28134.2,0.511113,-0.392955
UID_H15_14_2_hem-6,22342.8,0.18456,0.303551
UID_H15_14_3_hem-7,19296,0.0409003,0.862745
UID_H15_14_4_hem-9,21725.3,0.196617,0.582896
UID_H15_14_5_hem-6,21360.6,0.139037,0.498116
UID_H15_14_6_hem-3,20703.7,0.111163,0.587663
UID_H15_14_7_hem-2,1875.73,-2.66731,-0.595859
UID_H15_14_8_hem-3,19876,0.0774887,0.801192
UID_H15_15_1_hem-2,19115,-0.0324335,0.804179
UID_H15_15_2_hem-10,27902.3,0.498294,-0.367444
UID_H15_15_3_hem-8,22017.7,0.251006,0.675106
UID_H15_15_4_hem-5,22420.9,0.192198,0.302437
UID_H15_15_5_hem-19,29802,0.67695,-0.230536
UID_H15_15_6_hem-3,17692.5,-0.0289114,1.18955
UID_H15_15_7_hem-8,21200.4,0.215501,0.805003
UID_H15_15_8_hem-3,20922.6,0.120485,0.547163
UID_H15_15_9_hem-3,19987.3,0.0813904,0.781382
UID_H15_16_1_hem-11,24567.8,0.38385,0.280069
UID_H15_16_2_hem-22,30269.8,0.666873,-0.314789
UID_H15_16_3_hem-4,19130,0.0607394,1.00999
UID_H15_16_4_hem-7,21156.4,0.19574,0.753575
UID_H15_16_5_hem-7,21635.5,0.206702,0.656945
UID_H15_16_6_hem-19,20781.6,0.115372,0.609941
UID_H15_16_7_hem-4,19745.8,0.0554493,0.793502
UID_H15_16_8_hem-5,19376,0.0852411,0.986608
UID_H15_16_9_hem-8,19350.9,0.0756345,0.966752
UID_H15_17_1_hem-3,22226.2,0.250071,0.620043
UID_H15_17_2_hem-4,20845.7,0.155585,0.733074
UID_H15_17_3_hem-21,23889.7,0.352892,0.424376
UID_H15_17_4_hem-12,31451.2,0.700334,-0.597634
UID_H15_17_5_hem-13,23889.3,0.369587,0.467731
UID_H15_18_1_hem-11,36950.8,1.06532,-0.837751
UID_H15_18_2_hem-3,16979.1,-0.122545,1.16496
UID_H15_18_3_hem-9,25087.3,0.408632,0.246649
UID_H15_18_4_hem-10,23050.7,0.15391,0.0126856
UID_H15_18_5_hem-3,5024.83,-2.79288,-0.539002
UID_H15_18_6_hem-4,18421.4,0.0162234,1.09845
UID_H15_19_1_hem-2,5005.21,-3.04628,-0.80313
UID_H15_19_10_hem-6,4408.04,-3.19904,-0.865694
UID_H15_19_2_hem-5,24914.7,0.396083,0.269492
UID_H15_19_3_hem-3,17482.5,-0.0375689,1.24802
UID_H15_19_4_hem-17,40403.5,1.2385,-1.12539
UID_H15_19_5_hem-6,19264,0.0636827,0.96525
UID_H15_19_6_hem-2,19515.9,0.0379499,0.79684
UID_H15_19_7_hem-5,2743.99,-3.1864,-0.795325
UID_H15_19_8_hem-11,21989.4,0.227363,0.6025
UID_H15_19_9_hem-12,29021.7,0.219556,-0.767122
UID_H15_2_1_hem-5,23847.5,0.352918,0.446036
UID_H15_2_2_hem-20,33535.9,0.63901,-1.51066
UID_H15_2_3_hem-8,33651.4,0.200946,-1.35684
UID_H15_2_4_hem-9,34056.5,0.781221,-1.10659
UID_H15_2_5_hem-11,35776.6,0.968841,-0.89183
UID_H15_20_1_hem-2,22789,0.292611,0.567904
UID_H15_20_2_hem-3,20097.4,0.10227,0.785951
UID_H15_20_3_hem-2,18382.8,0.0112078,1.09312
UID_H15_20_4_hem-2,17517.5,-0.0969377,1.0705
UID_H15_20_5_hem-10,21833.9,0.243598,0.664078
UID_H15_20_6_hem-2,17364.8,-0.178904,0.855235
UID_H15_20_7_hem-7,37533.3,1.02673,-1.10251
UID_H15_21_1_hem-2,19126,0.0288279,0.892715
UID_H15_21_2_hem-4,21424.1,0.228511,0.774122
UID_H15_21_3_hem-2,17497.9,-0.0424907,1.21845
UID_H15_21_4_hem-4,23141.6,0.307006,0.489059
UID_H15_21_5_hem-8,23733.7,0.325076,0.393252
UID_H15_21_6_hem-3,19759.6,-0.0287314,0.577331
UID_H15_21_7_hem-2,19760.6,0.0995877,0.877295
UID_H15_22_1_hem-31,48128.6,1.53402,-1.84298
UID_H15_22_2_hem-14,35239.9,0.924843,-0.819685
UID_H15_22_3_hem-4,17892.3,-0.171268,0.687368
UID_H15_22_4_hem-13,23177.4,0.284984,0.383283
UID_H15_22_5_hem-6,17808.5,-0.0853989,0.966153
UID_H15_22_6_hem-2,17711.3,-0.118102,0.978303
UID_H15_23_1_hem-8,22289.2,0.233055,0.523285
UID_H15_23_10_hem-2,17527.2,-0.0520961,1.2211
UID_H15_23_11_hem-5,19672.5,-0.0362086,0.497946
UID_H15_23_12_hem-2,19070.7,-0.0826287,0.545153
UID_H15_23_2_hem-5,20073.7,0.0690511,0.667864
UID_H15_23_3_hem-13,23224.1,0.295537,0.437008
UID_H15_23_4_hem-3,19032.1,0.0246401,0.93371
UID_H15_23_5_hem-5,19268.9,0.0355906,0.84516
UID_H15_23_6_hem-12,24118.8,0.397063,0.471635
UID_H15_23_7_hem-18,23508,0.333103,0.459907
UID_H15_23_8_hem-7,18766.8,0.0431274,1.05034
UID_H15_23_9_hem-3,19653.1,0.00708264,0.633051
UID_H15_24_1_hem-7,22296.2,0.251589,0.593727
UID_H15_24_10_hem-8,19796.5,0.0647293,0.735183
UID_H15_24_11_hem-14,20307.8,0.126402,0.782669
UID_H15_24_12_hem-6,18665.1,0.0275418,1.04798
UID_H15_24_13_hem-3,19554.4,-0.0674364,0.43845
UID_H15_24_14_hem-5,18958.4,-0.143507,0.380401
UID_H15_24_15_hem-4,19383.3,0.0161811,0.731417
UID_H15_24_16_hem-3,16637.1,-0.17022,1.10082
UID_H15_24_2_hem-8,24145.3,0.376386,0.405889
UID_H15_24_3_hem-2,16447,-0.134078,1.32133
UID_H15_24_4_hem-4,21875.5,0.137598,0.339359
UID_H15_24_5_hem-4,18834.7,0.0479194,1.04301
UID_H15_24_6_hem-2,16510.5,-0.199942,1.10769
UID_H15_24_7_hem-2,19668.1,0.00856512,0.639016
UID_H15_24_8_hem-5,18853.3,-0.0873867,0.605219
UID_H15_24_9_hem-3,23617.9,0.356084,0.513944
UID_H15_25_1_hem-3,25203.1,0.244375,-0.234164
UID_H15_25_10_hem-3,22811.6,0.288142,0.510819
UID_H15_25_11_hem-3,24687.2,0.421282,0.356472
UID_H15_25_12_hem-14,22584,0.194444,0.411618
UID_H15_25_13_hem-2,21598.7,0.202989,0.639685
UID_H15_25_14_hem-6,19664.5,0.111412,0.986477
UID_H15_25_15_hem-2,18846.6,0.0230995,0.950414
UID_H15_25_2_hem-2,22454.7,0.232548,0.493918
UID_H15_25_3_hem-9,22743.4,0.293161,0.57003
UID_H15_25_4_hem-14,23925.9,0.326838,0.323597
UID_H15_25_5_hem-5,22185.9,0.184373,0.370641
UID_H15_25_6_hem-16,31953.2,0.822637,-0.378154
UID_H15_25_7_hem-6,19300.9,0.0439065,0.859966
UID_H15_25_8_hem-5,21594.6,-0.0826359,0.206135
UID_H15_25_9_hem-3,3486.29,-3.36061,-0.47465
UID_H15_3_1_hem-14,24834.3,0.276698,-0.185653
UID_H15_3_2_hem-10,30677.8,0.638851,-0.534824
UID_H15_3_3_hem-17,20296.5,0.144863,0.871623
UID_H15_4_1_hem-25,47466.3,1.16274,-3.05914
UID_H15_4_2_hem-16,33783.6,0.846147,-0.721667
UID_H15_4_3_hem-12,20784.3,0.158507,0.762842
