Contour,Area,hemModel (normalized mode 1),hemModel (normalized mode 2)
UID_H15_5_1_hem-13,24569.4,0.375622,0.266803
UID_H15_5_2_hem-15,27001.6,0.522303,0.026912
UID_H15_5_3_hem-6,21768,0.137458,0.446285
UID_H15_5_4_hem-14,21867.8,0.247388,0.690605
UID_H15_5_5_hem-8,23222.6,0.329937,0.514171
UID_H15_5_6_hem-16,9537.48,-2.88299,-0.0403946
UID_H15_5_7_hem-11,21760.7,0.235352,0.714116
UID_H15_6_1_hem-6,23220,0.249202,0.305629
UID_H15_6_2_hem-6,24065.8,0.231272,-0.00809002
UID_H15_6_3_hem-6,24355.9,0.342775,0.247079
UID_H15_7_1_hem-15,28683.3,0.59457,-0.168918
UID_H15_7_2_hem-15,44494.9,1.16827,-1.92868
UID_H15_8_1_hem-10,19364.9,0.0476272,0.876068
UID_H15_8_2_hem-7,24165,0.1416,-0.0263884
UID_H15_8_4_hem-8,20544.4,0.0784522,0.616202
UID_H15_8_5_hem-6,18721.1,-0.00772679,0.926145
UID_H15_9_1_hem-7,24000.6,0.391732,0.482459
UID_H15_9_2_hem-4,21035.8,0.165991,0.705872
UID_H15_9_3_hem-2,17373.8,-0.0735692,1.18342
UID_H15_9_4_hem-6,20691.8,0.163596,0.811884
UID_H16_1_1_hem-12,37262.9,0.83548,-1.6476
UID_H16_1_2_hem-4,17782.4,-0.0895486,0.934619
UID_H16_1_3_hem-2,16899.2,-0.0925095,1.27241
UID_H16_10_1_hem-22,32293.2,0.600992,-1.17792
UID_H16_11_1_hem-2,16330.1,-0.12594,1.37709
UID_H16_11_2_hem-2,19586.6,0.0726264,0.852402
UID_H16_12_1_hem-2,15999.8,-0.451206,0.673314
UID_H16_12_2_hem-3,27817.8,0.566294,0.0139438
UID_H16_12_3_hem-8,28011.5,0.546467,-0.201207
UID_H16_12_4_hem-14,24393.5,0.312402,0.191297
UID_H16_12_5_hem-13,38466.4,0.875088,-1.46961
UID_H16_12_6_hem-5,16298.6,-0.192052,1.15172
UID_H16_13_1_hem-19,25857.4,0.374244,-0.0912759
UID_H16_14_1_hem-8,17481,-0.0348786,1.23634
UID_H16_17_1_hem-4,18341.3,-0.0598158,0.951111
UID_H16_17_2_hem-11,29520.8,0.542726,-0.629151
UID_H16_17_3_hem-4,19160.9,-0.0482833,0.781652
UID_H16_18_1_hem-13,26486.8,0.446856,-0.0371875
UID_H16_18_2_hem-2,17453.4,-0.110749,1.07394
UID_H16_18_3_hem-3,29903.6,0.639928,-0.406155
UID_H16_19_1_hem-8,17414.6,-0.214085,0.623435
UID_H16_19_2_hem-2,17064.4,-0.134425,1.11391
UID_H16_19_3_hem-2,23934.9,0.289169,0.216881
UID_H16_2_1_hem-2,26417,0.340026,-0.501628
UID_H16_2_2_hem-2,15645.1,-0.200441,1.3798
UID_H16_20_1_hem-5,19086,0.067195,1.0307
UID_H16_20_2_hem-21,39401.3,0.929544,-1.67884
UID_H16_20_3_hem-4,22450.3,0.247357,0.555144
UID_H16_21_1_hem-10,16165,-2.75811,0.228059
UID_H16_21_2_hem-3,27004.3,0.374224,-0.35825
UID_H16_21_3_hem-2,30139.9,0.579577,-0.49859
UID_H16_21_4_hem-14,44134.5,1.18698,-2.04133
UID_H16_22_1_hem-11,26656.8,0.415357,-0.182105
UID_H16_23_1_hem-8,17610.1,-0.117584,0.992476
UID_H16_23_2_hem-8,19188,0.0322497,0.92569
UID_H16_24_1_hem-10,17844.5,-0.0625045,1.02033
UID_H16_25_1_hem-10,19780.5,0.00516573,0.533694
UID_H16_25_2_hem-20,37436,0.934144,-1.42308
UID_H16_25_3_hem-11,23824.8,0.143926,-0.387649
UID_H16_26_1_hem-10,21957.8,0.109862,0.227569
UID_H16_26_2_hem-13,24355.6,0.291032,0.112169
UID_H16_28_1_hem-8,18316.3,-0.00211985,1.04087
UID_H16_29_1_hem-17,22957.6,0.179808,0.167222
UID_H16_29_2_hem-26,32051.2,0.72692,-0.709317
UID_H16_29_3_hem-6,19042.2,0.0130151,0.936539
UID_H16_3_1_hem,10624.6,-2.78716,-3.51228
UID_H16_30_1_hem-10,22968.9,0.190529,0.180639
UID_H16_30_2_hem-21,32346.6,0.739963,-0.742879
UID_H16_30_3_hem-6,19309.5,0.0332307,0.901389
UID_H16_31_1_hem-3,16871.6,-0.145916,1.12007
UID_H16_31_2_hem-6,18182,-0.0235615,1.06513
UID_H16_31_3_hem-10,22993.5,0.179558,0.152732
UID_H16_31_4_hem-38,43180.4,1.28091,-1.55625
UID_H16_32_1_hem-3,16550.2,-0.12344,1.33235
UID_H16_32_2_hem-9,19678.9,0.0726613,0.85991
UID_H16_4_1_hem-2,15857,-0.168197,1.43283
UID_H16_4_2_hem-2,34496.8,0.927095,-0.629857
UID_H16_4_3_hem-4,28644.6,0.468278,-0.573286
UID_H16_5_1_hem-2,20603.5,0.157263,0.82225
UID_H16_5_2_hem-2,16692.5,-0.0981535,1.3392
UID_H16_5_3_hem-7,19279.1,0.0754754,1.01029
UID_H16_5_4_hem-2,19674.9,0.0823989,0.852947
UID_H16_6_1_hem-11,19668.5,0.0207721,0.680976
UID_H16_7_1_hem-2,19142.7,0.00308366,0.774838
UID_H16_8_1_hem-8,21459.1,0.204601,0.696932
UID_H16_8_2_hem-5,20228.4,0.120373,0.855136
UID_H16_9_1_hem-4,20483,0.140856,0.813423
UID_H16_9_2_hem-3,22064.8,0.192939,0.447938
UID_H16_9_3_hem-5,19430.7,0.0841831,0.987431
UID_H17_1_1_hem-10,44775.4,0.356606,-5.85042
UID_H17_1_2_hem-6,28161.7,0.559439,-0.1562
UID_H17_1_3_hem-8,24643.1,0.208388,-0.146113
UID_H17_1_4_hem-6,22416,0.100656,0.065666
UID_H17_10_1_hem-2,18980.5,-0.0431345,0.697347
UID_H17_11_1_hem,1822.49,-2.52827,0.894219
UID_H17_11_2_hem-12,38028.2,1.03807,-1.17267
UID_H17_11_3_hem-13,39145.5,1.08367,-1.20804
UID_H17_11_4_hem-9,29432.7,0.625582,-0.321404
UID_H17_12_1_hem-3,18957.4,-0.00460098,0.835777
UID_H17_12_2_hem-3,21934.6,0.204682,0.537543
UID_H17_12_3_hem-4,17654.8,-0.124162,0.885549
UID_H17_12_4_hem-9,19485.2,0.034341,0.79219
UID_H17_12_5_hem-4,16768,-0.14985,1.0841
UID_H17_13_1_hem-9,26405.9,0.483876,0.0748708
UID_H17_13_2_hem-10,27238.6,0.566442,0.0839407
UID_H17_14_1_hem-9,28638.4,-1.39769,-1.83861
UID_H17_14_2_hem-13,18930.5,0.00795257,0.904903
UID_H17_14_3_hem-6,20359.4,0.0741437,0.62377
UID_H17_14_4_hem-9,22900.8,0.183064,0.157221
UID_H17_14_5_hem-7,19039.5,0.00594067,0.854003
UID_H17_14_6_hem-8,20521.5,0.0825292,0.630032
UID_H17_14_7_hem-6,21901.3,0.207883,0.577429
UID_H17_15_1_hem-5,19756.3,0.0560834,0.871959
UID_H17_15_2_hem-9,20154.2,0.0848503,0.735607
UID_H17_15_3_hem-3,18456.6,-0.00938545,0.986391
UID_H17_15_4_hem-6,25336.4,0.212751,-0.459366
UID_H17_15_5_hem-7,19426.3,0.0811517,0.947369
UID_H17_16_1_hem-5,7474.91,-3.01503,-3.2966
UID_H17_16_2_hem-13,22791.6,0.23263,0.364822
UID_H17_17_1_hem-4,23279.2,0.205187,0.132226
UID_H17_17_2_hem-2,17069.1,-0.163647,1.01114
UID_H17_17_3_hem-2,17430.6,-0.111227,1.00034
UID_H17_17_4_hem-9,21273.6,0.0862452,0.329676
UID_H17_17_5_hem-8,22148.4,0.224633,0.546546
UID_H17_18_1_hem-4,25967.8,0.471834,0.170716
UID_H17_18_2_hem-3,25787.4,0.390857,-0.0471357
UID_H17_18_3_hem-5,26256.6,0.413207,0.0162467
UID_H17_18_4_hem-2,19053.9,-3.48621,-0.986695
UID_H17_18_5_hem-3,17846.5,-0.105426,0.915113
UID_H17_18_6_hem-8,27290.4,0.520572,-0.036084
UID_H17_19_1_hem-8,34939.3,0.852799,-1.06881
UID_H17_19_2_hem-12,27303.9,0.542397,-0.00571261
UID_H17_19_3_hem-13,28607.5,0.589378,-0.167744
UID_H17_19_4_hem-5,6717.73,-3.02109,-0.670459
UID_H17_19_5_hem-10,25321.4,0.403052,0.206255
UID_H17_2_1_hem-2,25673.2,0.470888,0.262604
UID_H17_2_2_hem-2,29211.8,0.591194,-0.390446
UID_H17_20_1_hem-3,25038,0.375539,0.182862
UID_H17_20_2_hem-8,20359.5,0.10336,0.717381
UID_H17_20_3_hem-12,26349.1,0.498702,0.166282
UID_H17_20_4_hem-11,21099.7,0.0293901,0.272801
UID_H17_20_5_hem-4,19184.4,-0.0173019,0.686267
UID_H17_20_6_hem-7,22584.8,0.196414,0.267579
UID_H17_20_7_hem-17,26797,0.361417,-0.209903
UID_H17_20_8_hem-12,26145,0.436737,0.0294504
UID_H17_21_1_hem-10,24966.9,0.388774,0.203611
UID_H17_21_2_hem-11,21099.5,0.0299265,0.27489
UID_H17_21_3_hem-8,22125.5,0.166759,0.31693
UID_H17_22_1_hem-16,33521,0.760108,-0.883341
UID_H17_22_2_hem-8,27130.5,0.389876,-0.48105
UID_H17_22_3_hem-4,20182.8,0.0967428,0.753097
UID_H17_22_4_hem-10,20688,0.0950268,0.569255
UID_H17_22_5_hem-12,32842.5,0.786444,-0.630582
UID_H17_22_6_hem-15,24396.7,0.407282,0.435714
UID_H17_23_1_hem-15,25625.4,0.437727,0.181953
UID_H17_23_2_hem-9,20062.2,0.00724249,0.401117
UID_H17_23_3_hem-5,29076.3,0.573079,-0.296208
UID_H17_24_1_hem-16,23340.1,0.313239,0.420444
UID_H17_24_2_hem-12,42079.9,-0.172879,-3.67918
UID_H17_25_1_hem-18,8813.83,-2.42131,-1.04936
UID_H17_25_2_hem-3,20978.9,0.140955,0.631698
UID_H17_25_3_hem-4,23245.3,0.245643,0.233237
UID_H17_26_1_hem-2,19629.4,0.0592338,0.822135
UID_H17_26_2_hem-17,30529.7,0.618573,-0.645441
UID_H17_27_1_hem-18,38238.1,0.932969,-1.66281
UID_H17_27_2_hem-12,25739.7,0.449706,0.186242
UID_H17_27_3_hem-9,25816.5,0.346521,-0.0291549
UID_H17_28_1_hem-22,38346.8,1.03811,-1.24669
UID_H17_29_1_hem-3,18165.1,-0.0809381,0.896978
UID_H17_29_2_hem-9,24310.1,0.364099,0.33401
UID_H17_29_3_hem-11,27451.8,0.536005,-0.0632682
UID_H17_29_4_hem-9,22597.4,0.256561,0.514202
UID_H17_29_5_hem-4,29749.4,0.607323,-0.531029
UID_H17_3_1_hem-8,25198.6,0.411208,0.192117
UID_H17_3_2_hem-9,22640.1,0.265892,0.50944
UID_H17_31_1_hem-16,29818.3,0.602582,-0.466128
UID_H17_31_2_hem-10,27942.4,0.519781,-0.207013
UID_H17_31_3_hem-10,24454.1,0.376604,0.356189
UID_H17_31_4_hem-17,25305.6,0.426015,0.23926
UID_H17_32_1_hem-23,37854.1,0.998564,-1.30363
UID_H17_33_1_hem-19,42051.7,0.966353,-2.44245
UID_H17_34_1_hem-4,8613.58,-2.44415,0.749119
UID_H17_35_1_hem-4,23608.8,0.298735,0.312126
UID_H17_35_2_hem-8,25458.8,0.265051,-0.20902
UID_H17_35_3_hem-5,20343.6,0.0824569,0.638612
UID_H17_36_1_hem-8,30127.5,0.651706,-0.431931
UID_H17_36_2_hem-6,25819.9,0.454929,0.176682
UID_H17_36_3_hem-5,22923.9,0.246448,0.31737
UID_H17_37_1_hem-7,25431.4,0.431158,0.198658
UID_H17_37_2_hem-10,27038.2,0.555769,0.137127
UID_H17_37_3_hem-8,27865.7,0.559074,-0.0646258
UID_H17_37_4_hem-11,29748.2,0.571512,-0.55769
UID_H17_37_5_hem-8,26900.2,0.478973,-0.0484246
UID_H17_37_6_hem-7,26894.9,0.486543,0.0295401
UID_H17_37_7_hem-7,23865.8,-2.46694,-0.46542
UID_H17_37_8_hem-7,3695.81,-2.79833,-1.33677
UID_H17_38_1_hem-7,28236.5,0.578223,-0.100007
UID_H17_38_2_hem-6,22128.3,0.24531,0.625896
UID_H17_4_1_hem-22,48804.4,1.36196,-2.60034
UID_H17_4_2_hem-16,33781.1,0.651837,-1.26428
UID_H17_5_1_hem-15,35399.1,0.885692,-0.946191
UID_H17_6_1_hem-15,35245.2,0.870743,-0.943565
UID_H17_7_1_hem-8,44951.7,1.39938,-1.5482
UID_H17_8_1_hem-7,21673.3,0.175,0.541727
UID_H17_8_2_hem-13,23454.7,0.296058,0.370535
UID_H17_9_1_hem-5,21769.2,0.167573,0.442926
UID_H17_9_2_hem-8,23687.6,0.312292,0.354314
UID_H17_9_3_hem-5,19377,0.0485909,0.852078
UID_H19_1_1_hem-2,20636,0.159196,0.810849
UID_H19_1_2_hem-2,18648.2,-0.141768,0.564952
UID_H19_1_3_hem,1768.05,-3.25387,-0.204628
UID_H19_1_4_hem-4,21299.2,0.144744,0.540742
UID_H19_1_5_hem-2,17807.7,-0.0552169,1.07989
UID_H19_1_6_hem-7,23502,0.286522,0.298057
UID_H19_1_7_hem-4,19428.6,-0.0694619,0.391205
UID_H19_1_8_hem-8,23826.9,0.323337,0.358979
UID_H19_1_9_hem-24,27928.6,0.5185,-0.218405
UID_H19_10_1_hem-6,25857.2,0.350285,-0.215537
UID_H19_10_2_hem-2,21231.9,0.171895,0.679117
UID_H19_11_1_hem-2,20690.4,0.16427,0.766153
UID_H19_11_2_hem-2,19014.7,0.0135183,0.848687
UID_H19_12_1_hem-2,19551.7,0.0413862,0.775066
UID_H19_12_2_hem-12,39895,1.09305,-1.4566
UID_H19_12_3_hem-8,30196.6,0.680088,-0.309016
UID_H19_12_4_hem-3,18509,-0.104069,0.716782
UID_H19_12_5_hem-4,23600.3,0.279844,0.256257
UID_H19_13_1_hem-4,24636.9,0.420106,0.380857
UID_H19_14_1_hem-2,29107.5,0.436049,-0.854571
UID_H19_14_2_hem-3,20668.1,0.0982065,0.603729
UID_H19_14_3_hem-6,21831.2,0.249384,0.721566
UID_H19_15_1_hem-2,19762.1,-0.00238697,0.541893
UID_H19_16_1_hem-3,21324.9,0.052966,0.255693
UID_H19_16_2_hem-4,19089.3,0.00424519,0.84088
UID_H19_17_1_hem-3,21774.2,0.159388,0.493032
UID_H19_17_2_hem-10,26819.1,0.446675,-0.0748707
UID_H19_18_1_hem-3,20916.5,0.176155,0.807392
UID_H19_18_2_hem-3,20736.5,0.0212622,0.324089
UID_H19_18_3_hem-4,18613,0.010453,0.9839
UID_H19_18_4_hem-8,32057.7,0.807536,-0.431496
UID_H19_18_5_hem-2,19279,0.0428991,0.85451
UID_H19_19_1_hem-2,19870.6,-0.166165,0.226666
UID_H19_19_2_hem-2,16609.7,-0.132372,1.23644
UID_H19_19_3_hem-7,39333,1.18115,-1.03882
UID_H19_2_1_hem-2,21595.2,0.176543,0.502752
UID_H19_2_2_hem-5,22712.4,0.29024,0.555667
UID_H19_2_3_hem-7,42517.9,1.09306,-2.11853
UID_H19_20_1_hem-2,27785.9,0.512272,-0.217453
UID_H19_20_2_hem-10,29442.7,0.604545,-0.326028
UID_H19_20_3_hem-2,14327.2,-0.316093,1.56399
UID_H19_21_1_hem-34,47959.2,1.48845,-1.91626
UID_H19_21_2_hem-5,43258.3,1.22121,-1.74726
UID_H19_22_1_hem-2,17870.4,-0.165957,0.702884
UID_H19_22_2_hem-6,22992.3,0.260316,0.374621
UID_H19_22_3_hem-2,19204.7,0.0391234,0.962182
UID_H19_23_1_hem-5,21340.1,0.213472,0.740305
UID_H19_24_1_hem-7,26879.4,0.401586,-0.257534
UID_H19_25_1_hem-3,23328.1,0.288498,0.356467
UID_H19_25_2_hem-2,16554.1,-0.140784,1.23829
UID_H19_26_1_hem-2,17382.4,-0.0676431,1.1915
UID_H19_27_1_hem-2,3335.34,-2.86869,-1.54284
UID_H19_27_2_hem-4,26628,-0.149601,-0.809716
UID_H19_28_1_hem-12,30689,0.645387,-0.530266
UID_H19_28_2_hem-3,23619.7,0.116849,0.0565898
UID_H19_28_3_hem-13,31681.1,0.683006,-0.629234
UID_H19_3_1_hem-2,18406.7,0.00313384,1.02284
UID_H19_3_2_hem-3,21147,0.138905,0.615744
UID_H19_3_3_hem-8,37576.7,1.0337,-1.10515
UID_H19_30_1_hem-2,17944.5,-0.05555,1.03271
UID_H19_30_2_hem-2,16240.8,-0.175699,1.22816
UID_H19_30_3_hem-5,16472.4,-0.198621,1.10086
UID_H19_31_1_hem-2,23775.4,0.240916,0.0923793
UID_H19_31_2_hem-2,14802.5,-0.270542,1.51353
UID_H19_31_3_hem-2,19672.9,0.0702878,0.863401
UID_H19_31_4_hem-2,17850.4,-0.182309,0.612525
UID_H19_31_5_hem-4,45091,-0.441353,-4.4004
UID_H19_32_1_hem-5,26557.7,0.338854,-0.399049
UID_H19_32_2_hem-2,1916.1,-2.49955,1.05654
UID_H19_33_1_hem-3,19328.7,-0.00300423,0.742061
UID_H19_33_2_hem-2,15415.5,-0.225399,1.3991
UID_H19_33_3_hem-7,18763.3,-0.0285661,0.877471
UID_H19_33_4_hem-3,29288.4,0.20132,-1.68029
UID_H19_34_1_hem-2,16361.7,-0.15103,1.27646
UID_H19_34_2_hem-3,16909.3,-0.101846,1.26541
UID_H19_34_3_hem-2,15500.5,-0.220438,1.35347
UID_H19_35_1_hem-2,18181.1,-0.113177,0.669228
UID_H19_35_2_hem-3,17771.9,-0.099902,1.02153
UID_H19_35_3_hem-2,16436.5,-0.168163,1.18583
UID_H19_35_4_hem-22,39601.9,0.939925,-2.12038
UID_H19_35_5_hem-6,33093.8,0.802273,-0.701386
UID_H19_35_6_hem-2,22957.3,0.191368,0.174597
UID_H19_36_1_hem-2,17660.5,-0.134167,0.890929
UID_H19_36_2_hem-2,16479.2,-0.164579,1.16367
UID_H19_36_3_hem-2,19043,-0.0584667,0.652469
UID_H19_36_4_hem-5,19697.5,0.0914841,0.927423
UID_H19_36_5_hem-4,19275.3,-0.0288541,0.631937
UID_H19_37_1_hem-8,36414.9,0.975108,-1.0466
UID_H19_37_2_hem-2,17300.4,-0.163097,0.94995
UID_H19_37_3_hem-5,19264.5,0.0564525,0.956197
UID_H19_37_4_hem-3,17923,-0.0364117,1.09999
UID_H19_4_1_hem-2,2206.79,-3.42606,-1.35541
UID_H19_4_2_hem-2,21615.6,0.203869,0.620973
UID_H19_4_3_hem-2,23930.5,0.313592,0.242793
UID_H19_5_1_hem-2,21220.5,0.0708581,0.375233
UID_H19_5_2_hem-3,20454.3,0.0510161,0.494437
UID_H19_5_3_hem-2,18934.7,-0.070471,0.555804
UID_H19_5_4_hem-3,18245.6,-0.0422613,0.92168
UID_H19_6_1_hem-16,27298.7,0.557072,0.0565473
UID_H19_6_2_hem-15,22492.6,0.274405,0.585085
UID_H19_7_1_hem-4,24620.7,0.405396,0.339456
UID_H19_7_2_hem-2,18612.7,0.0132308,1.03171
UID_H19_7_3_hem-3,19935.6,0.125258,0.915433
UID_H19_7_4_hem-2,19812.3,0.0990953,0.88234
UID_H19_8_1_hem-3,18500.4,-0.0446553,0.914563
UID_H19_8_2_hem-2,18778,-0.0201597,0.880068
UID_H19_8_3_hem-22,40653.9,1.20731,-1.23862
UID_H19_9_1_hem-6,24334.3,0.326802,0.23449
UID_H24_1_1_hem-9,11670.2,-2.38656,-0.165111
UID_H24_1_10_hem-10,32208.2,0.711402,-0.790581
UID_H24_1_11_hem-4,27122.2,-0.0212471,-2.33406
UID_H24_1_12_hem-14,42035.9,1.21535,-1.53155
UID_H24_1_13_hem,2520.05,-3.364,-0.599993
UID_H24_1_14_hem-9,30267.8,0.673802,-0.351146
UID_H24_1_16_hem-6,24602.7,0.226909,-0.176416
UID_H24_1_17_hem-3,5167.86,-2.88373,-0.456234
UID_H24_1_2_hem-3,20379.2,0.13793,0.795309
UID_H24_1_3_hem-7,20546.5,0.124177,0.69841
UID_H24_1_4_hem-13,26662.7,0.317976,-0.408654
UID_H24_1_5_hem-4,21522.9,-0.443653,-0.294365
UID_H24_1_6_hem-7,22358.1,0.142088,0.220451
UID_H24_1_7_hem-13,28289.7,0.512506,-0.296438
UID_H24_1_8_hem-14,47779.5,0.865701,-3.79743
UID_H24_1_9_hem-6,33922,0.87471,-0.696714
UID_H24_10_1_hem-3,6319.05,-3.54372,-2.62446
UID_H24_10_10_hem-8,18820.5,0.0224518,0.964261
UID_H24_10_11_hem-3,19706,-0.0375286,0.548279
UID_H24_10_12_hem-17,28693.3,0.616163,-0.158389
UID_H24_10_2_hem-3,20843.4,0.165171,0.780987
UID_H24_10_3_hem-13,40549.4,0.48945,-3.80669
UID_H24_10_4_hem-7,30425.9,0.701725,-0.301278
UID_H24_10_5_hem-6,25160.9,0.449106,0.319019
UID_H24_10_6_hem-5,20524.4,0.122479,0.676864
UID_H24_10_7_hem-17,22788.1,0.235082,0.350691
UID_H24_10_8_hem-15,27233.8,0.48479,-0.138487
UID_H24_10_9_hem-3,26793.1,0.480113,-0.0903779
UID_H24_11_1_hem-3,20813.8,0.133646,0.612409
UID_H24_11_2_hem-9,23924.5,0.303067,0.206541
UID_H24_11_3_hem-3,21006.4,0.111647,0.565491
UID_H24_11_4_hem-8,28691.4,0.623177,-0.14965
UID_H24_11_5_hem-14,32500.5,0.799993,-0.556494
UID_H24_11_6_hem-6,23907.8,0.276678,0.182391
UID_H24_11_7_hem-9,3371.82,-3.34549,-1.10613
UID_H24_11_8_hem-7,21066.8,0.133145,0.568401
UID_H24_12_1_hem-8,5215.05,-2.97144,-0.736261
UID_H24_12_2_hem-7,23504.5,0.241975,0.150804
UID_H24_12_3_hem-8,39468.4,0.705834,-2.51401
UID_H24_12_4_hem-6,20449.3,0.139425,0.833731
UID_H24_12_5_hem-6,8330.26,-2.66935,-0.695708
UID_H24_12_7_hem-3,20638.7,0.12485,0.639423
UID_H24_12_8_hem-10,23654.6,0.283233,0.228516
UID_H24_12_9_hem-4,21338.6,0.127332,0.498565
UID_H24_13_1_hem-5,23776.2,0.337523,0.414843
UID_H24_13_10_hem-10,24694.5,0.174512,-0.0910915
UID_H24_13_11_hem-13,21441.3,0.077656,0.280112
UID_H24_13_12_hem-13,30891.3,0.669894,-0.611712
UID_H24_13_13_hem-13,21402.1,0.142597,0.513667
UID_H24_13_14_hem-7,31113.9,0.590933,-0.828961
UID_H24_13_15_hem-10,25611.6,0.377507,0.0404185
UID_H24_13_16_hem-13,22347.7,0.223822,0.452661
UID_H24_13_17_hem-14,26569.6,0.473056,0.0447003
UID_H24_13_18_hem-9,23282.4,0.289794,0.380637
UID_H24_13_2_hem-7,22655.4,0.176909,0.285003
UID_H24_13_3_hem-10,24162.7,0.373532,0.392704
UID_H24_13_4_hem-15,25106.6,0.286411,-0.12729
UID_H24_13_5_hem-11,24433.2,-1.77826,-0.791211
UID_H24_13_6_hem-9,22088,0.152983,0.300136
UID_H24_13_7_hem-7,21862.2,0.177575,0.448563
